编号,食品分类,最大使用量,备注
01.7,乳基甜点（如布丁、水果或调味酸乳）,5,000 mg/kg
01.5.2,乳粉和稀奶油粉类似产品,100,000 mg/kg,注释XS251
11.4,其他糖和糖浆（如，木糖，枫糖浆和糖的顶饰）,5,000 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,5,000 mg/kg,注释XS309R
05.3,口香糖,20,000 mg/kg
05.1.1,可可混合物（粉）和可可块/可可饼,5,000 mg/kg,注释97,注释XS141
04.1.2.9,果基甜点，包括水基果味甜点,40,000 mg/kg
02.1.2,植物油脂,10,000 mg/kg,注释XS33,注释XS210,注释XS19
02.3,水包油为主的脂肪乳化物，包括混合和/或调味的脂肪乳化物制品,30,000 mg/kg
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,500 mg/kg
04.1.2.8,水果预制品，包括果浆、果泥、水果顶饰和椰奶,40,000 mg/kg
07.0,焙烤制品,15,000 mg/kg,注释11,注释72
13.3,特殊医疗用途食品（不包括13.1类）,5,000 mg/kg
02.1.3,猪油、牛油、鱼油和其他动物脂肪,10,000 mg/kg,注释XS211,注释XS19
13.4,瘦身和减肥配方食品,5,000 mg/kg
01.4.4,稀奶油类似产品,5,000 mg/kg,注释86
04.1.2.11,糕饼的水果馅料,40,000 mg/kg
02.4,脂基甜点，不包括01.7类乳基甜点制品,40,000 mg/kg
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,20,000 mg/kg
04.2.2.6,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的浆及其制品（如蔬菜甜品和沙司，和糖渍蔬菜），不包括04.2.2.5类,5,000 mg/kg
10.4,蛋基甜点（如蛋奶甜羹）,40,000 mg/kg
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,40,000 mg/kg
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,40,000 mg/kg
06.4.3,预制面制品、面条及其类似产品,5,000 mg/kg,注释153,注释2
01.1.4,风味液态乳饮料,5,000 mg/kg
03.0,食用冰，包括冰冻果子露和果汁冰糕,5,000 mg/kg
01.3.2,饮料增白剂,1,000 mg/kg,注释XS252,注释XS250
