编号,食品分类,最大使用量,备注
12.6.1,乳化沙司（如蛋黄酱，沙拉酱）,100 mg/kg,注释21
09.4,全保藏的鱼和鱼制品，包括罐装或发酵的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,340 mg/kg,注释XS119,注释XS3,注释310,注释XS70,注释XS94,注释21
09.2.2,冷冻拖面糊的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,75 mg/kg,注释XS166,注释21
09.2.1,冷冻的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,75 mg/kg,注释XS312,注释XS165,注释XS95,注释XS190,注释392,注释XS36,注释XS315,注释XS92,注释XS191,注释21
04.2.2.1,冷冻蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,100 mg/kg,注释21,注释110
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,25 mg/kg,注释21
04.1.2.10,发酵水果制品,250 mg/kg,注释21
04.2.2.7,发酵蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻制品，不包括食品类别06.8.6、06.8.7、12.9.1、12.9.2.1和12.9.2.3中的发酵豆制品,250 mg/kg,注释21
05.1.3,可可涂抹物，包括馅料,50 mg/kg,注释XS86,注释21
14.1.5,咖啡，咖啡替代品，茶，香草饮料和其他热的谷物饮料，不包括可可,35 mg/kg,注释21
14.2.1,啤酒和麦芽饮料,25 mg/kg,注释21
10.2.3,干制和/或热凝固的蛋制品,200 mg/kg,注释47,注释21
04.1.2.2,干制水果,265 mg/kg,注释21
04.2.2.2,干制蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,800 mg/kg,注释297,注释64,注释21
04.1.2.6,果基涂抹物（如印度酸辣酱），不包括04.1.2.5类的食品,100 mg/kg,注释21
04.1.2.5,果酱、果冻、柑橘果酱,130 mg/kg,注释21
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,200 mg/kg,注释21
12.7,沙拉（如通心粉沙拉，土豆沙拉）和三明治涂抹物，不包括04.2.2.5和05.1.3中的可可制品和坚果的涂抹物,100 mg/kg,注释21
08.3.2,热处理的加工碎畜、禽肉和野味制品,35 mg/kg,注释XS98,注释XS89,注释XS88,注释21
09.2.4.1,烹调的鱼和鱼制品,50 mg/kg,注释21
04.2.2.8,熟制或油炸的蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）和海藻,250 mg/kg,注释21
09.3.2,盐渍和/或盐水渍的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,250 mg/kg,注释21
04.1.2.11,糕饼的水果馅料,650 mg/kg,注释21
04.2.2.4,罐装或瓶装（经巴氏杀菌的）或杀菌袋装蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）和海藻,365 mg/kg,注释21
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,100 mg/kg,注释21
12.4,芥末,75 mg/kg,注释21
04.2.2.5,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的泥及涂抹酱（如花生酱）,250 mg/kg,注释21
04.2.2.6,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的浆及其制品（如蔬菜甜品和沙司，和糖渍蔬菜），不包括04.2.2.5类,80 mg/kg,注释21
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,315 mg/kg,注释21
14.2.6,酒精含量高于15%的蒸馏酒饮料,25 mg/kg,注释21
04.2.2.3,醋、油、盐水或酱油渍的蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻,250 mg/kg,注释21
04.1.2.3,醋、油或盐水渍水果,250 mg/kg,注释21
12.6.2,非乳化沙司（如番茄酱，干酪汁，奶油汁，卤汁）,75 mg/kg,注释21
13.6,食品补充剂,150 mg/kg,注释21
11.6,餐桌甜味料，包括含有高浓度甜味剂的产品,1,000 mg/kg,注释96,注释21
12.2,香草，香辛料，调味料和调味品（如方便面调料）,70 mg/kg,注释XS328,注释XS326,注释XS327,注释21
