编号,食品分类,最大使用量,备注
12.6.1,乳化沙司（如蛋黄酱，沙拉酱）,5 mg/kg,注释233,注释538
01.7,乳基甜点（如布丁、水果或调味酸乳）,12 mg/kg,注释362,注释233
01.6.6,乳清蛋白干酪,12 mg/kg
01.6.4,再制干酪,12 mg/kg,注释233
01.4.3,凝固稀奶油（原味）,10 mg/kg
12.5.1,即食清汤和浓汤，包括罐装，瓶装和冷冻制品,5 mg/kg,注释339,注释233
08.4,可食用肠衣（如香肠肠衣）,7 mg/kg,注释233
01.6.5,干酪类似产品,12 mg/kg
08.2.2,整块或分割的热处理加工的畜、禽肉和野味,25 mg/kg,注释XS96,注释XS97,注释233,注释330
12.7,沙拉（如通心粉沙拉，土豆沙拉）和三明治涂抹物，不包括04.2.2.5和05.1.3中的可可制品和坚果的涂抹物,5 mg/kg,注释233,注释538
10.2.1,液体蛋制品,6 mg/kg,注释233
08.3.2,热处理的加工碎畜、禽肉和野味制品,25 mg/kg,注释233,注释377
01.6.2,熟化干酪,12 mg/kg,注释XS276,注释XS277,注释233,注释XS278,注释XS274,注释XS208
07.2,精制焙烤制品（甜的、咸的、美味的）及其混合物,6 mg/kg,注释233
12.6.4,调味清汁（如鱼露）,5 mg/kg,注释233,注释XS302,注释538
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,3 mg/kg
12.6.2,非乳化沙司（如番茄酱，干酪汁，奶油汁，卤汁）,5 mg/kg,注释XS306R,注释233,注释538
01.6.1,非熟化干酪,12 mg/kg,注释233
01.1.4,风味液态乳饮料,12 mg/kg,注释403,注释233
