编号,食品分类,最大使用量,备注
01.5.2,乳粉和稀奶油粉类似产品,100 mg/kg,注释15,注释481
01.5.1,乳粉和稀奶油粉（原味）,200 mg/kg,注释15,注释196
09.4,全保藏的鱼和鱼制品，包括罐装或发酵的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,200 mg/kg,注释XS3,注释15,注释180,注释XS94,注释XS90,注释XS70,注释XS119,注释XS37
09.2.2,冷冻拖面糊的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,200 mg/kg,注释15,注释XS166,注释180
09.2.1,冷冻的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,200 mg/kg,注释15,注释XS190,注释180,注释XS191,注释XS95,注释392,注释XS92,注释XS165,注释XS36,注释XS312,注释XS315
08.3,加工的碎畜、禽肉和野味制品,100 mg/kg,注释XS89,注释162,注释XS98,注释XS88,注释15,注释130
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,200 mg/kg,注释XS309R,注释15,注释130
09.3,半防腐的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,200 mg/kg,注释15,注释180,注释XS291
15.0,即食小食品,200 mg/kg,注释15,注释130
05.3,口香糖,400 mg/kg,注释130
05.1.4,可可和巧克力制品,200 mg/kg,注释15,注释130,注释303
04.2.2.2,干制蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,200 mg/kg,注释15,注释196,注释76
08.2,整块或分割的加工畜、禽肉和野味,100 mg/kg,注释XS96,注释15,注释130,注释XS97,注释167
06.3,早餐谷物，包括燕麦片,100 mg/kg,注释15,注释196
02.1.2,植物油脂,200 mg/kg,注释XS33,注释15,注释130,注释511,注释515
02.3,水包油为主的脂肪乳化物，包括混合和/或调味的脂肪乳化物制品,200 mg/kg,注释15,注释130
12.6,沙司及其类似产品,100 mg/kg,注释15,注释XS302,注释130
12.5,清汤和浓汤,200 mg/kg,注释340,注释15,注释130
07.0,焙烤制品,200 mg/kg,注释15,注释180
02.1.3,猪油、牛油、鱼油和其他动物脂肪,200 mg/kg,注释15,注释130,注释516
05.1.5,类巧克力、代巧克力制品,200 mg/kg,注释15,注释197
09.2.5,经烟熏，干制，发酵，和/或盐腌的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,200 mg/kg,注释XS189,注释XS311,注释XS244,注释15,注释196,注释XS167,注释XS236,注释XS222
02.4,脂基甜点，不包括01.7类乳基甜点制品,200 mg/kg,注释15,注释130
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,200 mg/kg,注释15,注释130
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,200 mg/kg,注释15,注释130
06.4.3,预制面制品、面条及其类似产品,200 mg/kg,注释15,注释130
13.6,食品补充剂,400 mg/kg,注释15,注释196
03.0,食用冰，包括冰冻果子露和果汁冰糕,100 mg/kg,注释15,注释195
01.3.2,饮料增白剂,100 mg/kg,注释XS252,注释XS250,注释15,注释195
12.2,香草，香辛料，调味料和调味品（如方便面调料）,200 mg/kg,注释XS327,注释15,注释130,注释XS328,注释XS326
02.1.1,黄油脂、无水乳脂、酥油,75 mg/kg,注释15,注释171,注释133,注释514
