编号,食品分类,最大使用量,备注
12.6.1,乳化沙司（如蛋黄酱，沙拉酱）,2,500 mg/kg
15.1,以土豆、谷物、面粉或淀粉（来自块根，豆类）为原料的零食,1,000 mg/kg
08.3,加工的碎畜、禽肉和野味制品,1,000 mg/kg,注释XS88,注释XS98,注释XS89
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,1,000 mg/kg,注释XS309R
08.2,整块或分割的加工畜、禽肉和野味,1,000 mg/kg,注释XS97,注释XS96
02.3,水包油为主的脂肪乳化物，包括混合和/或调味的脂肪乳化物制品,1,000 mg/kg
12.6.3,沙司和卤汁的混合物,2,500 mg/kg,注释127
12.5,清汤和浓汤,500 mg/kg,注释XS117
02.4,脂基甜点，不包括01.7类乳基甜点制品,1,000 mg/kg
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,1,000 mg/kg,注释XS253
10.4,蛋基甜点（如蛋奶甜羹）,2,000 mg/kg
12.6.4,调味清汁（如鱼露）,2,500 mg/kg,注释XS302
12.6.2,非乳化沙司（如番茄酱，干酪汁，奶油汁，卤汁）,2,500 mg/kg,注释XS306R
07.1,面包和普通焙烤制品及其混合物,4,000 mg/kg
