编号,食品分类,最大使用量,备注
09.3.3,三文鱼替代品，鱼子酱及其他鱼子制品,200 mg/kg,注释XS291
01.7,乳基甜点（如布丁、水果或调味酸乳）,500 mg/kg
15.1,以土豆、谷物、面粉或淀粉（来自块根，豆类）为原料的零食,350 mg/kg
15.3,以鱼为原料的零食,350 mg/kg
09.4,全保藏的鱼和鱼制品，包括罐装或发酵的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,500 mg/kg,注释XS94,注释XS90,注释95,注释XS70,注释XS37,注释XS3,注释XS119
11.4,其他糖和糖浆（如，木糖，枫糖浆和糖的顶饰）,64 mg/kg,注释62
09.2.3,冷冻切碎的加稀奶油的鱼糜制品，包括软体动物，甲壳类和棘皮类动物,40 mg/kg,注释95
15.2,加工坚果，包括有涂层的坚果和坚果混合物（如与干制水果混合）,100 mg/kg
09.3.4,半保藏的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物（如鱼酱），不包括09.3.1-09.3.3类,75 mg/kg,注释95
04.1.2.10,发酵水果制品,100 mg/kg,注释62
04.2.2.7,发酵蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻制品，不包括食品类别06.8.6、06.8.7、12.9.1、12.9.2.1和12.9.2.3中的发酵豆制品,100 mg/kg,注释62
05.3,口香糖,700 mg/kg
05.1.4,可可和巧克力制品,700 mg/kg,注释183
05.1.3,可可涂抹物，包括馅料,6 mg/kg,注释XS86,注释62
01.6.5,干酪类似产品,50 mg/kg
01.6.2.3,干酪粉（用水冲调复原；如干酪沙司）,50 mg/kg
04.1.2.6,果基涂抹物（如印度酸辣酱），不包括04.1.2.5类的食品,150 mg/kg
04.1.2.9,果基甜点，包括水基果味甜点,150 mg/kg
04.1.2.5,果酱、果冻、柑橘果酱,200 mg/kg,注释161
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,300 mg/kg
04.1.2.8,水果预制品，包括果浆、果泥、水果顶饰和椰奶,100 mg/kg,注释62,注释182
12.6,沙司及其类似产品,100 mg/kg,注释XS302
09.2.4.3,油炸的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,40 mg/kg,注释95
09.3.1,浸制的和/或胶冻的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,40 mg/kg,注释16
12.5,清汤和浓汤,400 mg/kg,注释342
09.2.4.1,烹调的鱼和鱼制品,30 mg/kg,注释95,注释62
04.2.2.8,熟制或油炸的蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）和海藻,100 mg/kg,注释62
04.1.2.12,熟制水果,100 mg/kg,注释62
01.6.2.2,熟化干酪壳,75 mg/kg
01.6.2.1,熟化干酪，包括干酪壳,15 mg/kg,注释XS277,注释XS269,注释XS276,注释XS208,注释XS264,注释XS272,注释XS265,注释XS268,注释XS263,注释XS271,注释XS270,注释62,注释XS266,注释XS267,注释XS274
05.2.3,牛轧糖和杏仁蛋白软糖,100 mg/kg
09.3.2,盐渍和/或盐水渍的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,40 mg/kg,注释16
05.2.1,硬糖,700 mg/kg
05.1.5,类巧克力、代巧克力制品,700 mg/kg
07.2,精制焙烤制品（甜的、咸的、美味的）及其混合物,75 mg/kg
04.1.2.11,糕饼的水果馅料,100 mg/kg,注释62
04.1.2.7,糖渍水果,250 mg/kg
09.2.5,经烟熏，干制，发酵，和/或盐腌的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,200 mg/kg,注释XS311,注释XS167,注释XS222,注释XS189,注释XS244,注释XS236
04.1.2.4,罐装或瓶装（巴氏杀菌）水果,100 mg/kg,注释267,注释62
02.4,脂基甜点，不包括01.7类乳基甜点制品,500 mg/kg
12.4,芥末,500 mg/kg
04.2.2.5,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的泥及涂抹酱（如花生酱）,100 mg/kg,注释62
04.2.2.6,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的浆及其制品（如蔬菜甜品和沙司，和糖渍蔬菜），不包括04.2.2.5类,100 mg/kg,注释92,注释62
10.4,蛋基甜点（如蛋奶甜羹）,300 mg/kg,注释2
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,100 mg/kg
01.6.4.2,调味再制干酪，包括含水果、蔬菜、肉等的再制干酪,50 mg/kg
12.2.2,调味料和调味品,500 mg/kg
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,75 mg/kg
05.2.2,软糖,100 mg/kg,注释XS309R
04.1.2.3,醋、油或盐水渍水果,100 mg/kg,注释62
01.6.1,非熟化干酪,50 mg/kg,注释XS275,注释161,注释XS273,注释484
07.1.4,面包类制品，包括面包馅和面包屑,6 mg/kg,注释161,注释62
06.4.3,预制面制品、面条及其类似产品,100 mg/kg,注释153
01.1.4,风味液态乳饮料,50 mg/kg,注释190,注释52
13.6,食品补充剂,500 mg/kg,注释3
03.0,食用冰，包括冰冻果子露和果汁冰糕,500 mg/kg
