编号,食品分类,最大使用量,备注
09.3.3,三文鱼替代品，鱼子酱及其他鱼子制品,100 mg/kg,注释XS291
12.6.1,乳化沙司（如蛋黄酱，沙拉酱）,100 mg/kg
01.7,乳基甜点（如布丁、水果或调味酸乳）,100 mg/kg,注释2
09.4,全保藏的鱼和鱼制品，包括罐装或发酵的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,100 mg/kg,注释95,注释XS70,注释XS94,注释XS119,注释XS90,注释XS3,注释XS37
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,100 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,100 mg/kg,注释XS309R
04.2.2.7,发酵蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻制品，不包括食品类别06.8.6、06.8.7、12.9.1、12.9.2.1和12.9.2.3中的发酵豆制品,100 mg/kg,注释161
05.3,口香糖,300 mg/kg
08.4,可食用肠衣（如香肠肠衣）,100 mg/kg,注释4,注释3
08.2,整块或分割的加工畜、禽肉和野味,100 mg/kg,注释4,注释XS97,注释XS96,注释3
04.1.2.6,果基涂抹物（如印度酸辣酱），不包括04.1.2.5类的食品,100 mg/kg,注释161
04.1.2.9,果基甜点，包括水基果味甜点,100 mg/kg,注释161
04.1.2.5,果酱、果冻、柑橘果酱,400 mg/kg
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,100 mg/kg
04.1.2.8,水果预制品，包括果浆、果泥、水果顶饰和椰奶,100 mg/kg,注释161,注释182
09.2.4.1,烹调的鱼和鱼制品,100 mg/kg
07.0,焙烤制品,100 mg/kg,注释161
02.1.3,猪油、牛油、鱼油和其他动物脂肪,良好生产规范,注释XS211,注释XS329,注释XS19
04.1.2.11,糕饼的水果馅料,100 mg/kg,注释161
04.1.2.7,糖渍水果,100 mg/kg,注释161
09.2.5,经烟熏，干制，发酵，和/或盐腌的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,100 mg/kg,注释XS311,注释XS236,注释XS222,注释XS167,注释XS244,注释XS189
04.1.2.4,罐装或瓶装（巴氏杀菌）水果,200 mg/kg,注释267
04.2.2.4,罐装或瓶装（经巴氏杀菌的）或杀菌袋装蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）和海藻,200 mg/kg
02.4,脂基甜点，不包括01.7类乳基甜点制品,100 mg/kg
10.4,蛋基甜点（如蛋奶甜羹）,100 mg/kg
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,100 mg/kg
12.2.2,调味料和调味品,100 mg/kg
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,100 mg/kg,注释161
14.2.6,酒精含量高于15%的蒸馏酒饮料,100 mg/kg
04.2.2.3,醋、油、盐水或酱油渍的蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻,300 mg/kg
06.4.3,预制面制品、面条及其类似产品,290 mg/kg,注释194
01.1.4,风味液态乳饮料,100 mg/kg,注释52
13.6,食品补充剂,600 mg/kg
03.0,食用冰，包括冰冻果子露和果汁冰糕,100 mg/kg
08.1,鲜畜、禽肉和野味,100 mg/kg,注释4,注释3,注释16
10.1,鲜蛋,良好生产规范,注释4
