编号,食品分类,最大使用量,备注
04.1.2,加工水果,400 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,5,000 mg/kg,注释3,注释XS309R
15.0,即食小食品,200 mg/kg,注释3
05.3,口香糖,1,200 mg/kg,注释3
05.1.4,可可和巧克力制品,5,000 mg/kg,注释3,注释XS87
14.1.5,咖啡，咖啡替代品，茶，香草饮料和其他热的谷物饮料，不包括可可,200 mg/kg,注释108
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,200 mg/kg,注释131
07.0,焙烤制品,良好生产规范,注释3
05.1.5,类巧克力、代巧克力制品,5,000 mg/kg,注释3
04.1.1.2,经表面处理的新鲜水果,400 mg/kg
04.2.1.2,表面处理的新鲜蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,400 mg/kg,注释79
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,4,000 mg/kg
13.6,食品补充剂,5,000 mg/kg,注释3
