编号,食品分类,最大使用量,备注
09.3.3,三文鱼替代品，鱼子酱及其他鱼子制品,300 mg/kg,注释XS291
01.7,乳基甜点（如布丁、水果或调味酸乳）,300 mg/kg,注释161
15.1,以土豆、谷物、面粉或淀粉（来自块根，豆类）为原料的零食,200 mg/kg
09.4,全保藏的鱼和鱼制品，包括罐装或发酵的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,300 mg/kg,注释XS3,注释XS119,注释XS90,注释XS94,注释XS70,注释435,注释95
01.6.4,再制干酪,200 mg/kg,注释3
09.2.3,冷冻切碎的加稀奶油的鱼糜制品，包括软体动物，甲壳类和棘皮类动物,300 mg/kg,注释16,注释95
09.2.2,冷冻拖面糊的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,300 mg/kg,注释16,注释XS166
08.3.3,冷冻的加工碎畜、禽肉和野味制品,300 mg/kg,注释16
09.2.1,冷冻的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,300 mg/kg,注释XS312,注释XS165,注释XS92,注释XS190,注释XS95,注释XS36,注释XS292,注释XS191,注释XS315,注释95
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,200 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,300 mg/kg,注释XS309R
09.3.4,半保藏的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物（如鱼酱），不包括09.3.1-09.3.3类,300 mg/kg
04.2.2.7,发酵蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻制品，不包括食品类别06.8.6、06.8.7、12.9.1、12.9.2.1和12.9.2.3中的发酵豆制品,200 mg/kg,注释92
05.3,口香糖,300 mg/kg
05.1.4,可可和巧克力制品,400 mg/kg,注释183
08.4,可食用肠衣（如香肠肠衣）,300 mg/kg,注释16
01.6.5,干酪类似产品,300 mg/kg,注释3
08.2,整块或分割的加工畜、禽肉和野味,300 mg/kg,注释16,注释XS96,注释XS97
06.3,早餐谷物，包括燕麦片,300 mg/kg,注释161
