编号,食品分类,最大使用量,备注
09.3.3,三文鱼替代品，鱼子酱及其他鱼子制品,100 mg/kg,注释XS291
01.7,乳基甜点（如布丁、水果或调味酸乳）,100 mg/kg
15.1,以土豆、谷物、面粉或淀粉（来自块根，豆类）为原料的零食,500 mg/kg
09.4,全保藏的鱼和鱼制品，包括罐装或发酵的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,50 mg/kg,注释XS37,注释XS90,注释95,注释XS3,注释XS70,注释XS94,注释XS119
01.6.4,再制干酪,50 mg/kg
15.2,加工坚果，包括有涂层的坚果和坚果混合物（如与干制水果混合）,400 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,200 mg/kg,注释XS309R
09.3.4,半保藏的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物（如鱼酱），不包括09.3.1-09.3.3类,50 mg/kg,注释95
05.3,口香糖,5,000 mg/kg
08.4,可食用肠衣（如香肠肠衣）,1,000 mg/kg,注释72
06.3,早餐谷物，包括燕麦片,75 mg/kg
04.1.2.6,果基涂抹物（如印度酸辣酱），不包括04.1.2.5类的食品,500 mg/kg
04.1.2.9,果基甜点，包括水基果味甜点,200 mg/kg
04.1.2.5,果酱、果冻、柑橘果酱,200 mg/kg
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,100 mg/kg
12.6,沙司及其类似产品,75 mg/kg,注释XS302
12.5,清汤和浓汤,100 mg/kg,注释XS117
01.6.2.2,熟化干酪壳,100 mg/kg
07.2,精制焙烤制品（甜的、咸的、美味的）及其混合物,100 mg/kg
04.1.2.7,糖渍水果,250 mg/kg
09.2.5,经烟熏，干制，发酵，和/或盐腌的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,250 mg/kg,注释XS167,注释XS189,注释XS311,注释XS244,注释XS236,注释22,注释XS222
04.1.1.2,经表面处理的新鲜水果,1,000 mg/kg,注释16,注释4
04.1.2.4,罐装或瓶装（巴氏杀菌）水果,300 mg/kg,注释267
02.4,脂基甜点，不包括01.7类乳基甜点制品,350 mg/kg
10.4,蛋基甜点（如蛋奶甜羹）,150 mg/kg
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,100 mg/kg
12.2.2,调味料和调味品,1,000 mg/kg
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,75 mg/kg
01.1.4,风味液态乳饮料,20 mg/kg,注释402,注释52
13.6,食品补充剂,7,500 mg/kg,注释3
03.0,食用冰，包括冰冻果子露和果汁冰糕,300 mg/kg
10.1,鲜蛋,良好生产规范,注释4
