编号,食品分类,最大使用量,备注
06.2.1,面粉,2,500 mg/kg,注释33,注释469,注释225
09.3.3,三文鱼替代品，鱼子酱及其他鱼子制品,2,200 mg/kg,注释XS291,注释33
01.7,乳基甜点（如布丁、水果或调味酸乳）,1,500 mg/kg,注释33
01.8.2,乳清粉和乳清制品，不包括乳清干酪,4,400 mg/kg,注释33
01.5.2,乳粉和稀奶油粉类似产品,4,400 mg/kg,注释483,注释33,注释482,注释88
01.5.1,乳粉和稀奶油粉（原味）,4,400 mg/kg,注释33
12.1.2,代盐制品,4,400 mg/kg,注释33
09.4,全保藏的鱼和鱼制品，包括罐装或发酵的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,2,200 mg/kg,注释XS94,注释436,注释33,注释XS119,注释XS3
07.1.3,其他普通焙烤制品（如百吉饼、皮塔饼、英式松饼等）,9,300 mg/kg,注释229,注释33
11.4,其他糖和糖浆（如，木糖，枫糖浆和糖的顶饰）,1,320 mg/kg,注释33
01.1.2,其它液态乳（原味）,2,200 mg/kg,注释364,注释33,注释411
01.6.4,再制干酪,9,000 mg/kg,注释33
09.2.3,冷冻切碎的加稀奶油的鱼糜制品，包括软体动物，甲壳类和棘皮类动物,2,200 mg/kg,注释33
09.2.2,冷冻拖面糊的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,2,200 mg/kg,注释299,注释33
09.2.1,冷冻的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,2,200 mg/kg,注释33,注释XS191,注释XS312,注释XS36,注释394,注释XS292,注释393
04.2.2.1,冷冻蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,5,000 mg/kg,注释76,注释33
10.2.2,冷冻蛋制品,1,290 mg/kg,注释33
08.3,加工的碎畜、禽肉和野味制品,2,200 mg/kg,注释33,注释302,注释XS88
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,2,200 mg/kg,注释XS309R,注释33
09.3.4,半保藏的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物（如鱼酱），不包括09.3.1-09.3.3类,2,200 mg/kg,注释193,注释33
15.0,即食小食品,2,200 mg/kg,注释33
04.2.1.3,去皮、切块或切碎的新鲜蔬菜（包括蘑菇和食用真菌、，块根类、，豆类、，芦荟）、海藻、坚果和籽类,5,600 mg/kg,注释76,注释33
