编号,食品分类,最大使用量,备注
09.3.3,三文鱼替代品，鱼子酱及其他鱼子制品,15 mg/kg,注释XS291
01.7,乳基甜点（如布丁、水果或调味酸乳）,15 mg/kg,注释170
15.1,以土豆、谷物、面粉或淀粉（来自块根，豆类）为原料的零食,45 mg/kg
09.4,全保藏的鱼和鱼制品，包括罐装或发酵的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,15 mg/kg,注释XS70,注释XS37,注释XS90,注释XS3,注释XS119,注释XS94
11.4,其他糖和糖浆（如，木糖，枫糖浆和糖的顶饰）,15 mg/kg
09.2.1,冷冻的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,35 mg/kg,注释XS92,注释XS312,注释95,注释XS191,注释XS190,注释XS165,注释XS292,注释XS36,注释XS95,注释XS315
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,5 mg/kg
04.2.2.2,干制蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,10 mg/kg
01.6.5,干酪类似产品,15 mg/kg
06.4.2,干面制品、面条及其类似产品,15 mg/kg,注释211
08.3.1.1,未经热处理的腌制（包括盐腌）加工碎畜、禽肉和野味制品,100 mg/kg,注释118,注释16,注释4
04.1.2.6,果基涂抹物（如印度酸辣酱），不包括04.1.2.5类的食品,15 mg/kg
04.1.2.9,果基甜点，包括水基果味甜点,15 mg/kg
04.1.2.5,果酱、果冻、柑橘果酱,200 mg/kg,注释5
02.3,水包油为主的脂肪乳化物，包括混合和/或调味的脂肪乳化物制品,15 mg/kg
12.6,沙司及其类似产品,30 mg/kg,注释XS302
14.1.4.3,浓缩（液体或固体）水基调味饮料,5 mg/kg,注释127
12.5.2,清汤和浓汤的混合物,30 mg/kg,注释XS117
01.6.2,熟化干酪,15 mg/kg,注释XS283,注释XS267,注释XS268,注释XS277,注释XS274,注释XS221,注释XS271,注释XS272,注释XS264,注释XS270,注释XS265,注释XS269,注释XS266,注释XS276,注释XS263,注释201,注释XS208
14.1.4.1,碳酸水基调味饮料,5 mg/kg
04.1.2.11,糕饼的水果馅料,15 mg/kg
09.2.5,经烟熏，干制，发酵，和/或盐腌的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,15 mg/kg,注释XS222,注释XS311,注释22,注释XS189,注释XS167,注释XS244,注释XS236
02.4,脂基甜点，不包括01.7类乳基甜点制品,15 mg/kg
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,15 mg/kg,注释214,注释215
10.4,蛋基甜点（如蛋奶甜羹）,15 mg/kg
01.6.4.2,调味再制干酪，包括含水果、蔬菜、肉等的再制干酪,15 mg/kg
12.2.2,调味料和调味品,20 mg/kg
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,15 mg/kg
14.2.6,酒精含量高于15%的蒸馏酒饮料,5 mg/kg
01.6.1,非熟化干酪,15 mg/kg,注释XS273,注释XS221,注释XS275,注释201
14.1.4.2,非碳酸水基调味饮料，包括潘趣酒和果汁饮料,5 mg/kg
06.4.3,预制面制品、面条及其类似产品,15 mg/kg,注释XS249,注释153
01.1.4,风味液态乳饮料,15 mg/kg,注释52,注释170
10.1,鲜蛋,良好生产规范,注释4
