
"Number","Food Category","Max Level","Units","Notes"
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP","59  278"
"04.1.1.3","Peeled or cut fresh fruit","","GMP",""
"06.4.2","Dried pastas and noodles and like products","","GMP","256"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS315  XS312  XS165  XS36  XS190  XS95  XS191  XS92  392  308"
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","","GMP",""
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP","59"
"09.1.2","Fresh mollusks, crustaceans, and echinoderms","","GMP","XS315  XS312  390"


(c) FAO and WHO 2009

