
"Number","Food Category","Max Level","Units","Notes"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","2,000","mg/kg","XS240  XS314R"
"06.4.1","Fresh pastas and noodles and like products","20,000","mg/kg","370"
"06.4.3","Pre-cooked pastas and noodles and like products","10,000","mg/kg","194"
"07.1","Bread and ordinary bakery wares","1,500","mg/kg",""
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","1,000","mg/kg","426"
"13.6","Food supplements","2,000","mg/kg","417"
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","300","mg/kg",""
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","1,500","mg/kg",""
"05.1.3","Cocoa-based spreads, including fillings","1,000","mg/kg","XS86"
"05.2.1","Hard candy","5,300","mg/kg",""
"05.2.2","Soft candy","4,500","mg/kg","XS309R"
"05.2.3","Nougats and marzipans","1,000","mg/kg",""
"05.3","Chewing gum","20,000","mg/kg",""


(c) FAO and WHO 2009

