
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","350","mg/kg","188  478"
"01.3.2","Beverage whiteners","2,000","mg/kg","XS250  XS252  201  188  478"
"01.4.4","Cream analogues","1,000","mg/kg","68  188  478"
"01.5.2","Milk and cream powder analogues","1,000","mg/kg","XS251  408  188  478"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","350","mg/kg","188  478"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","350","mg/kg","188  478"
"03.0","Edible ices, including sherbet and sorbet","800","mg/kg","188  478"
"04.1.2.1","Frozen fruit","500","mg/kg","358  188  478"
"04.1.2.3","Fruit in vinegar, oil, or brine","200","mg/kg","144  188"
"04.1.2.4","Canned or bottled (pasteurized) fruit","350","mg/kg","XS319  188  478"
"04.1.2.5","Jams, jellies, marmelades","1,000","mg/kg","188  478"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","1,000","mg/kg","188  478"
"04.1.2.7","Candied fruit","500","mg/kg","188  478"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","350","mg/kg","188  478"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","350","mg/kg","188  478"
"04.1.2.10","Fermented fruit products","350","mg/kg","188  478"
"04.1.2.11","Fruit fillings for pastries","350","mg/kg","188  478"
"04.1.2.12","Cooked fruit","500","mg/kg","188  478"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","200","mg/kg","144  188"
"04.2.2.4","Canned or bottled (pasteurized) or retort pouch vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","350","mg/kg","188  478"
"04.2.2.5","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)","1,000","mg/kg","188"
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","350","mg/kg","188  478"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","1,000","mg/kg","188"
"05.1.1","Cocoa mixes (powders) and cocoa mass/cake","350","mg/kg","XS141  188  97"
"05.1.2","Cocoa mixes (syrups)","350","mg/kg","188  97  478"
"05.1.3","Cocoa-based spreads, including fillings","1,000","mg/kg","XS86  188  478"
"05.1.4","Cocoa and chocolate products","500","mg/kg","188  478"
"05.1.5","Imitation chocolate, chocolate substitute products","500","mg/kg","188  478"
"05.2.1","Hard candy","500","mg/kg","156  188  478"
"05.2.2","Soft candy","1,000","mg/kg","157  XS309R  188  478"
"05.2.3","Nougats and marzipans","1,000","mg/kg","188  478"
"05.3","Chewing gum","5,000","mg/kg","188  478"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","500","mg/kg","188  478"
"06.3","Breakfast cereals, including rolled oats","1,200","mg/kg","188  478"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","350","mg/kg","188  478"
"07.1","Bread and ordinary bakery wares","1,000","mg/kg","188  161"
