
"Number","Food Category","Max Level","Units","Notes"
"01.4.1","Pasteurized cream (plain)","","GMP",""
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP",""
"01.6.6","Whey protein cheese","","GMP",""
"04.2.2.1","Frozen vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","","GMP","264  262"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","","GMP",""
"06.4.1","Fresh pastas and noodles and like products","","GMP",""
"06.4.2","Dried pastas and noodles and like products","","GMP","256"
"10.2.1","Liquid egg products","","GMP",""
"10.2.2","Frozen egg products","","GMP",""
"12.1.2","Salt Substitutes","","GMP",""
"13.1.1","Infant formulae","","GMP","83  72"
"13.1.2","Follow-up formulae","","GMP","83  72"
"13.1.3","Formulae for special medical purposes for infants","","GMP","83  72"
"13.2","Complementary foods for infants and young children","2,000","mg/kg","238  83"
"04.2.1.1","Untreated fresh vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes [(including soybeans)], and aloe vera), seaweeds, and nuts and seeds","","GMP","264  262"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS244  XS167  382"


(c) FAO and WHO 2009

