
"Number","Food Category","Max Level","Units","Notes"
"01.1.3.2","Fluid buttermilk (plain)","","GMP","261"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP",""
"01.4.1","Pasteurized cream (plain)","","GMP",""
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP",""
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","","GMP",""
"06.4.1","Fresh pastas and noodles and like products","","GMP",""
"06.4.2","Dried pastas and noodles and like products","","GMP","256"
"10.2.1","Liquid egg products","","GMP",""
"10.2.2","Frozen egg products","","GMP",""
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","160"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS166  41"
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","","GMP","16"
"09.2.4","Cooked and/or fried fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP",""
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS244  XS167  437"
"13.2","Complementary foods for infants and young children","","GMP","239  83  319  320"


(c) FAO and WHO 2009

