
"Number","Food Category","Max Level","Units","Notes"
"01.1.3.2","Fluid buttermilk (plain)","","GMP","261"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP",""
"01.4.1","Pasteurized cream (plain)","","GMP",""
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP",""
"13.2","Complementary foods for infants and young children","","GMP","239  83"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS244  XS167  382"


(c) FAO and WHO 2009

