
"Number","Food Category","Max Level","Units","Notes"
"01.8.2","Dried whey and whey products, excluding whey cheeses","10,000","mg/kg",""
"11.1.2","Powdered sugar, powdered dextrose","15,000","mg/kg","56  465"
"12.1.1","Salt","","GMP",""
"12.1.2","Salt Substitutes","","GMP",""
"12.2.1","Herbs and spices","","GMP","534  51"
"13.2","Complementary foods for infants and young children","2,000","mg/kg","65  318"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","321"
"01.6.2.1","Ripened cheese, includes rind","","GMP","459  502  XS277  XS276  XS208  XS274  XS278  461"
"01.6.1","Unripened cheese","","GMP","488  XS273  XS275  3"


(c) FAO and WHO 2009

