
"Number","Food Category","Max Level","Units","Notes"
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP","59  278"
"06.4.1","Fresh pastas and noodles and like products","","GMP","59  211"
"13.1.1","Infant formulae","","GMP","59"
"13.1.3","Formulae for special medical purposes for infants","","GMP","59"
"13.2","Complementary foods for infants and young children","","GMP","59"
"14.1.2.1","Fruit juice","","GMP","69"
"14.1.2.3","Concentrates for fruit juice","","GMP","69  127"
"14.1.3.1","Fruit nectar","","GMP","69"
"14.1.3.3","Concentrates for fruit nectar","","GMP","69  127"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","59  160"
"14.2.3","Grape wines","","GMP","60"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP","59"
"01.2.2","Renneted milk (plain)","","GMP","59"
"04.1.1.3","Peeled or cut fresh fruit","","GMP","59"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS244  XS167  59  382"
"14.1.1.1","Natural mineral waters and source waters","","GMP","466"
"14.1.1.2","Table waters and soda waters","","GMP","466"


(c) FAO and WHO 2009

