
"Number","Food Category","Max Level","Units","Notes"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","250","mg/kg","18"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","250","mg/kg","18"
"14.2.2","Cider and perry","250","mg/kg","18"
"14.2.3","Grape wines","200","mg/kg","18"
"14.2.4","Wines (other than grape)","250","mg/kg","18"
"14.2.5","Mead","200","mg/kg","18"


(c) FAO and WHO 2009

