
"Number","Food Category","Max Level","Units","Notes"
"01.2.1.1","Fermented milks (plain), not heat-treated after fermentation","","GMP","234  235"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP","234"
"01.2.2","Renneted milk (plain)","","GMP",""
"01.4.1","Pasteurized cream (plain)","","GMP","236"
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP","236"
"06.4.2","Dried pastas and noodles and like products","","GMP","256"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS315  XS312  XS292  XS165  XS36  XS190  XS95  XS191  XS92  73"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS166  73"
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","","GMP",""
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS244  XS167  XS311  300"
"10.2.1","Liquid egg products","","GMP",""
"10.2.2","Frozen egg products","","GMP",""
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","160"
"08.1.1","Fresh meat, poultry, and game, whole pieces or cuts","","GMP","326  16"
"08.1.2","Fresh meat, poultry, and game, comminuted","","GMP","281"
"09.2.4.1","Cooked fish and fish products","","GMP","241"
"09.2.4.3","Fried fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","41"


(c) FAO and WHO 2009

