
"Number","Food Category","Max Level","Units","Notes"
"01.4.1","Pasteurized cream (plain)","","GMP","236"
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP",""
"04.1.1.2","Surface-treated fresh fruit","","GMP","454"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","","GMP",""
"06.4.1","Fresh pastas and noodles and like products","","GMP","211"
"06.4.2","Dried pastas and noodles and like products","","GMP","256"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS315  XS312  XS292  XS36  XS190  XS95  XS191  XS92  332  391"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","332  177"
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","","GMP",""
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS244  XS167  XS311  332  300"
"10.2.1","Liquid egg products","","GMP",""
"10.2.2","Frozen egg products","","GMP",""
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","","GMP","258"
"12.1.2","Salt Substitutes","","GMP",""
"13.1.2","Follow-up formulae","300","mg/kg","151  72  328  329"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","160"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP","234"
"01.2.2","Renneted milk (plain)","","GMP",""
"08.1.1","Fresh meat, poultry, and game, whole pieces or cuts","","GMP","326  16"
"08.1.2","Fresh meat, poultry, and game, comminuted","","GMP","281"
"09.2.4.1","Cooked fish and fish products","","GMP","325  16"
"09.2.4.3","Fried fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","332  325  41"
"01.2.1.1","Fermented milks (plain), not heat-treated after fermentation","","GMP","234  235"
"09.2.4.2","Cooked mollusks, crustaceans, and echinoderms","","GMP","325  16"
"13.1.1","Infant formulae","300","mg/kg","381  378"
"13.1.3","Formulae for special medical purposes for infants","1,000","mg/kg","381  379"
"01.1.2","Other fluid milk (plain)","","GMP","407  438"


(c) FAO and WHO 2009

