
"Number","Food Category","Max Level","Units","Notes"
"01.2.2","Renneted milk (plain)","","GMP",""
"01.4.1","Pasteurized cream (plain)","","GMP","236"
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP",""
"02.1.2","Vegetable oils and fats","","GMP","XS33  511  519"
"02.1.3","Lard, tallow, fish oil, and other animal fats","","GMP",""
"04.1.1.2","Surface-treated fresh fruit","","GMP","454"
"04.2.1.2","Surface-treated fresh vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","","GMP","455  456"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","","GMP",""
"06.4.1","Fresh pastas and noodles and like products","","GMP",""
"06.4.2","Dried pastas and noodles and like products","","GMP","256"
"08.1.1","Fresh meat, poultry, and game, whole pieces or cuts","","GMP","326  16"
"08.1.2","Fresh meat, poultry, and game, comminuted","","GMP","281"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS315  XS312  XS165  XS36  XS190  XS95  XS191  XS92  392"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","63"
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","","GMP","16"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS244  XS167  XS311  300"
"10.2.1","Liquid egg products","","GMP",""
"10.2.2","Frozen egg products","","GMP",""
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","","GMP","258"
"12.1.2","Salt Substitutes","","GMP",""
"13.1.1","Infant formulae","5,000","mg/kg","72"
"13.1.2","Follow-up formulae","5,000","mg/kg","72"
"13.1.3","Formulae for special medical purposes for infants","5,000","mg/kg","72"
"13.2","Complementary foods for infants and young children","5,000","mg/kg","274  271"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","160"
"06.2.1","Flours","","GMP","28  25"
"01.8.2","Dried whey and whey products, excluding whey cheeses","","GMP",""
"09.2.4.1","Cooked fish and fish products","","GMP","241"
"09.2.4.3","Fried fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","41"
"09.1.2","Fresh mollusks, crustaceans, and echinoderms","","GMP","XS315  XS312  390"
"01.1.2","Other fluid milk (plain)","","GMP","410"
"02.1.1","Butter oil, anhydrous milkfat, ghee","","GMP","507"


(c) FAO and WHO 2009

