
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","50","mg/kg","190  52"
"01.6.1","Unripened cheese","50","mg/kg","484  XS273  XS275  161"
"01.6.2.1","Ripened cheese, includes rind","15","mg/kg","62  XS277  XS276  XS263  XS208  XS274  XS264  XS265  XS269  XS266  XS267  XS272  XS271  XS268  XS270"
"01.6.2.2","Rind of ripened cheese","75","mg/kg",""
"01.6.2.3","Cheese powder (for reconstitution; e.g. for cheese sauces)","50","mg/kg",""
"01.6.5","Cheese analogues","50","mg/kg",""
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","500","mg/kg",""
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","500","mg/kg",""
"03.0","Edible ices, including sherbet and sorbet","500","mg/kg",""
"04.1.2.3","Fruit in vinegar, oil, or brine","100","mg/kg","62"
"04.1.2.4","Canned or bottled (pasteurized) fruit","100","mg/kg","62  267"
"04.1.2.5","Jams, jellies, marmelades","200","mg/kg","161"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","150","mg/kg",""
"04.1.2.7","Candied fruit","250","mg/kg",""
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","100","mg/kg","62  182"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","150","mg/kg",""
"04.1.2.10","Fermented fruit products","100","mg/kg","62"
"04.1.2.11","Fruit fillings for pastries","100","mg/kg","62"
"04.1.2.12","Cooked fruit","100","mg/kg","62"
"04.2.2.5","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)","100","mg/kg","62"
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","100","mg/kg","62  92"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","100","mg/kg","62"
"04.2.2.8","Cooked or fried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","100","mg/kg","62"
"05.1.3","Cocoa-based spreads, including fillings","6","mg/kg","62  XS86"
"05.1.4","Cocoa and chocolate products","700","mg/kg","183"
"05.1.5","Imitation chocolate, chocolate substitute products","700","mg/kg",""
"05.2.1","Hard candy","700","mg/kg",""
"05.2.2","Soft candy","100","mg/kg","XS309R"
"05.2.3","Nougats and marzipans","100","mg/kg",""
"05.3","Chewing gum","700","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","100","mg/kg",""
"06.4.3","Pre-cooked pastas and noodles and like products","100","mg/kg","153"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","75","mg/kg",""
"07.1.4","Bread-type products, including bread stuffing and bread crumbs","6","mg/kg","62  161"
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","75","mg/kg",""
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","40","mg/kg","95"
"09.2.4.1","Cooked fish and fish products","30","mg/kg","62  95"
"09.2.4.3","Fried fish and fish products, including mollusks, crustaceans, and echinoderms","40","mg/kg","95"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","200","mg/kg","XS236  XS222  XS189  XS244  XS167  XS311"
"09.3.1","Fish and fish products, including mollusks, crustaceans, and echinoderms, marinated and/or in jelly","40","mg/kg","16"
"09.3.2","Fish and fish products, including mollusks, crustaceans, and echinoderms, pickled and/or in brine","40","mg/kg","16"
"09.3.3","Salmon substitutes, caviar, and other fish roe products","200","mg/kg","XS291"
"09.3.4","Semi-preserved fish and fish products, including mollusks, crustaceans, and echinoderms (e.g. fish paste), excluding products of food categories 09.3.1 - 09.3.3","75","mg/kg","95"
"09.4","Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms","500","mg/kg","XS90  XS119  XS3  XS94  XS37  XS70  95"
"10.4","Egg-based desserts (e.g. custard)","300","mg/kg","2"
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","64","mg/kg","62"
"12.2.2","Seasonings and condiments","500","mg/kg",""
"12.4","Mustards","500","mg/kg",""
"12.5","Soups and broths","400","mg/kg","342"
"12.6","Sauces and like products","100","mg/kg","XS302"
"13.6","Food supplements","500","mg/kg","3"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","300","mg/kg",""
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","350","mg/kg",""
"15.2","Processed nuts, including coated nuts and nut mixtures (with e.g. dried fruit)","100","mg/kg",""
"15.3","Snacks - fish based","350","mg/kg",""
"01.6.4.2","Flavoured processed cheese, including containing fruit, vegetables, meat, etc.","50","mg/kg",""


(c) FAO and WHO 2009

