
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","100","mg/kg","52"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","100","mg/kg","2"
"02.1.3","Lard, tallow, fish oil, and other animal fats","","GMP","XS19  XS329  XS211"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","100","mg/kg",""
"03.0","Edible ices, including sherbet and sorbet","100","mg/kg",""
"04.1.2.4","Canned or bottled (pasteurized) fruit","200","mg/kg","267"
"04.1.2.5","Jams, jellies, marmelades","400","mg/kg",""
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","100","mg/kg","161"
"04.1.2.7","Candied fruit","100","mg/kg","161"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","100","mg/kg","182  161"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","100","mg/kg","161"
"04.1.2.11","Fruit fillings for pastries","100","mg/kg","161"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","300","mg/kg",""
"04.2.2.4","Canned or bottled (pasteurized) or retort pouch vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","200","mg/kg",""
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","100","mg/kg","161"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","100","mg/kg","XS309R"
"05.3","Chewing gum","300","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","100","mg/kg",""
"06.4.3","Pre-cooked pastas and noodles and like products","290","mg/kg","194"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","100","mg/kg","161"
"07.0","Bakery wares","100","mg/kg","161"
"08.1","Fresh meat, poultry, and game","100","mg/kg","4  16  3"
"08.2","Processed meat, poultry, and game products in whole pieces or cuts","100","mg/kg","XS96  XS97  4  3"
"08.4","Edible casings (e.g. sausage casings)","100","mg/kg","4  3"
"09.2.4.1","Cooked fish and fish products","100","mg/kg",""
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","100","mg/kg","XS236  XS222  XS189  XS244  XS167  XS311"
"09.3.3","Salmon substitutes, caviar, and other fish roe products","100","mg/kg","XS291"
"09.4","Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms","100","mg/kg","XS90  XS119  XS3  XS94  XS37  XS70  95"
"10.1","Fresh eggs","","GMP","4"
"10.4","Egg-based desserts (e.g. custard)","100","mg/kg",""
"12.2.2","Seasonings and condiments","100","mg/kg",""
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","100","mg/kg",""
"13.6","Food supplements","600","mg/kg",""
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","100","mg/kg",""
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","100","mg/kg",""
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","100","mg/kg",""


(c) FAO and WHO 2009

