
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","150","mg/kg","52  402"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","300","mg/kg",""
"05.3","Chewing gum","300","mg/kg","444"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","500","mg/kg",""
"12.5","Soups and broths","50","mg/kg","99"
"13.6","Food supplements","300","mg/kg","539"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","60","mg/kg","127"
"14.2.1","Beer and malt beverages","200","mg/kg","425"
"14.2.2","Cider and perry","200","mg/kg",""
"14.2.4","Wines (other than grape)","200","mg/kg",""
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","100","mg/kg",""
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","100","mg/kg",""
"06.4.3","Pre-cooked pastas and noodles and like products","500","mg/kg","194"
"05.1.3","Cocoa-based spreads, including fillings","300","mg/kg","XS86"
"05.1.4","Cocoa and chocolate products","300","mg/kg","183"
"05.1.5","Imitation chocolate, chocolate substitute products","300","mg/kg",""
"01.6.1","Unripened cheese","","GMP","XS273  XS275  493"
"01.6.2","Ripened cheese","","GMP","XS208  XS278  498"
"02.1.2","Vegetable oils and fats","5","mg/kg","XS210  XS33  509  508"
"02.1.3","Lard, tallow, fish oil, and other animal fats","5","mg/kg","XS329  512"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","10","mg/kg","528"


(c) FAO and WHO 2009

