
"Number","Food Category","Max Level","Units","Notes"
"04.2.2.1","Frozen vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","","GMP","110"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","","GMP",""
"06.2.1","Flours","300","mg/kg","472"
"06.4.1","Fresh pastas and noodles and like products","200","mg/kg",""
"06.4.2","Dried pastas and noodles and like products","","GMP","256"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS315  XS312  XS190  XS191  307  392"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","306  307"
"09.2.4","Cooked and/or fried fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP",""
"12.1.2","Salt Substitutes","","GMP",""
"13.1.2","Follow-up formulae","50","mg/kg","242  72  315"
"13.2","Complementary foods for infants and young children","500","mg/kg","242"
"14.1.2.1","Fruit juice","","GMP",""
"14.1.2.2","Vegetable juice","","GMP",""
"14.1.2.3","Concentrates for fruit juice","","GMP","127"
"14.1.2.4","Concentrates for vegetable juice","","GMP",""
"14.1.3.1","Fruit nectar","","GMP",""
"14.1.3.2","Vegetable nectar","","GMP",""
"14.1.3.3","Concentrates for fruit nectar","","GMP","127"
"14.1.3.4","Concentrates for vegetable nectar","","GMP",""
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","160"
"04.2.1.1","Untreated fresh vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes [(including soybeans)], and aloe vera), seaweeds, and nuts and seeds","500","mg/kg","262"
"08.1.2","Fresh meat, poultry, and game, comminuted","","GMP","281"
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","","GMP","16"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS167  XS311"
"09.1.2","Fresh mollusks, crustaceans, and echinoderms","","GMP","XS315  XS312  390"
"01.1.2","Other fluid milk (plain)","","GMP","410"
"02.1.3","Lard, tallow, fish oil, and other animal fats","","GMP","XS19  XS211"


(c) FAO and WHO 2009

