
"Number","Food Category","Max Level","Units","Notes"
"01.6.1","Unripened cheese","200","mg/kg","XS221  XS273  XS275"
"01.6.2.1","Ripened cheese, includes rind","200","mg/kg","XS283  XS277  XS276  XS263  XS208  XS274  XS264  XS265  XS269  XS278  XS266  XS267  XS272  XS271  XS268  XS270"
"01.6.3","Whey cheese","200","mg/kg",""
"01.6.4","Processed cheese","200","mg/kg",""
"01.6.5","Cheese analogues","200","mg/kg",""
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","200","mg/kg","170"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","200","mg/kg","214  215"
"04.1.2.2","Dried fruit","200","mg/kg",""
"04.1.2.11","Fruit fillings for pastries","200","mg/kg",""
"04.2.1.2","Surface-treated fresh vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","200","mg/kg",""
"04.2.1.3","Peeled, cut or shredded fresh vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","200","mg/kg",""
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","200","mg/kg",""
"05.1.3","Cocoa-based spreads, including fillings","200","mg/kg","XS86"
"05.3","Chewing gum","225","mg/kg",""
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","200","mg/kg",""
"10.2","Egg products","200","mg/kg",""
"10.4","Egg-based desserts (e.g. custard)","200","mg/kg",""
"12.2.2","Seasonings and condiments","200","mg/kg",""
"12.5","Soups and broths","200","mg/kg","XS117"
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","200","mg/kg",""
"12.6.2","Non-emulsified sauces (e.g. ketchup, cheese sauce, cream sauce, brown gravy)","200","mg/kg",""
"12.7","Salads (e.g. macaroni salad, potato salad) and sandwich spreads excluding cocoa- and nut-based spreads of food categories 04.2.2.5 and 05.1.3","200","mg/kg",""
"14.1.4.1","Carbonated water-based flavoured drinks","50","mg/kg",""
"14.1.4.2","Non-carbonated water-based flavoured drinks, including punches and ades","50","mg/kg",""
"14.1.4.3","Concentrates (liquid or solid) for water-based flavoured drinks","50","mg/kg","127"
"08.2.3","Frozen processed meat, poultry, and game products in whole pieces or cuts","200","mg/kg","374  3"
"08.3.3","Frozen processed comminuted meat, poultry, and game products","315","mg/kg","374  3"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","200","mg/kg","XS236  XS222  XS189  333"
"09.3.1","Fish and fish products, including mollusks, crustaceans, and echinoderms, marinated and/or in jelly","200","mg/kg",""
"09.3.2","Fish and fish products, including mollusks, crustaceans, and echinoderms, pickled and/or in brine","200","mg/kg",""
"09.3.3","Salmon substitutes, caviar, and other fish roe products","200","mg/kg","XS291"
"09.3.4","Semi-preserved fish and fish products, including mollusks, crustaceans, and echinoderms (e.g. fish paste), excluding products of food categories 09.3.1 - 09.3.3","200","mg/kg",""
"08.2.1","Non-heat treated processed meat, poultry, and game products in whole pieces or cuts","200","mg/kg",""
"08.2.2","Heat-treated processed meat, poultry, and game products in whole pieces or cuts","200","mg/kg","396"
"08.3.1","Non-heat treated processed comminuted meat, poultry, and game products","315","mg/kg",""
"08.3.2","Heat-treated processed comminuted meat, poultry, and game products","200","mg/kg","377"
"09.2.4.1","Cooked fish and fish products","200","mg/kg",""
"09.2.4.2","Cooked mollusks, crustaceans, and echinoderms","200","mg/kg",""
"09.2.4.3","Fried fish and fish products, including mollusks, crustaceans, and echinoderms","200","mg/kg","419"


(c) FAO and WHO 2009

