
"Number","Food Category","Max Level","Units","Notes"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP",""
"01.4.1","Pasteurized cream (plain)","","GMP",""
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP",""
"01.6.6","Whey protein cheese","","GMP",""
"02.1.1","Butter oil, anhydrous milkfat, ghee","","GMP","171"
"02.1.2","Vegetable oils and fats","","GMP","XS33  511  15"
"02.1.3","Lard, tallow, fish oil, and other animal fats","","GMP",""
"04.2.2.1","Frozen vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","","GMP","264  242  262  265"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","","GMP",""
"06.4.1","Fresh pastas and noodles and like products","","GMP",""
"06.4.2","Dried pastas and noodles and like products","","GMP","256"
"08.1.2","Fresh meat, poultry, and game, comminuted","","GMP","281  15"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS315  XS312  XS36  XS190  XS95  XS191  391  392  331"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","61"
"10.2.1","Liquid egg products","","GMP",""
"10.2.2","Frozen egg products","","GMP",""
"12.1.2","Salt Substitutes","","GMP",""
"13.1.1","Infant formulae","","GMP","72"
"13.1.2","Follow-up formulae","","GMP","72"
"13.1.3","Formulae for special medical purposes for infants","","GMP","72"
"13.2","Complementary foods for infants and young children","5,000","mg/kg","238"
"14.1.2.1","Fruit juice","3,000","mg/kg","122"
"14.1.2.2","Vegetable juice","","GMP",""
"14.1.2.3","Concentrates for fruit juice","3,000","mg/kg","127  122"
"14.1.2.4","Concentrates for vegetable juice","","GMP",""
"14.1.3.1","Fruit nectar","5,000","mg/kg",""
"14.1.3.2","Vegetable nectar","","GMP",""
"14.1.3.3","Concentrates for fruit nectar","5,000","mg/kg","127"
"14.1.3.4","Concentrates for vegetable nectar","","GMP",""
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","160"
"04.2.1.1","Untreated fresh vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes [(including soybeans)], and aloe vera), seaweeds, and nuts and seeds","","GMP","264  262"
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","","GMP","16"
"09.2.4","Cooked and/or fried fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP",""
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS167  437"
"09.1.2","Fresh mollusks, crustaceans, and echinoderms","","GMP","XS315  XS312  390"
"01.1.2","Other fluid milk (plain)","","GMP","407"


(c) FAO and WHO 2009

