
"Number","Food Category","Max Level","Units","Notes"
"01.4.1","Pasteurized cream (plain)","","GMP","236"
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP",""
"02.1.2","Vegetable oils and fats","","GMP","XS33  511"
"04.2.2.1","Frozen vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","","GMP","29"
"08.1.2","Fresh meat, poultry, and game, comminuted","","GMP","281"
"13.2","Complementary foods for infants and young children","","GMP","239"
"09.2","Processed fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS315  XS312  XS292  XS165  XS36  XS190  XS166  XS95  XS191  XS92  XS244  XS167  XS311"
"02.1.1","Butter oil, anhydrous milkfat, ghee","","GMP","507"
"02.1.3","Lard, tallow, fish oil, and other animal fats","","GMP","XS211  507"


(c) FAO and WHO 2009

