
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","300","mg/kg","52"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","300","mg/kg",""
"05.3","Chewing gum","300","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","500","mg/kg",""
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","100","mg/kg","XS236  XS222  XS189  XS244  XS167  382"
"12.5","Soups and broths","50","mg/kg","99"
"13.6","Food supplements","300","mg/kg","539"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","100","mg/kg","127"
"14.2.1","Beer and malt beverages","500","mg/kg","425"
"14.2.2","Cider and perry","200","mg/kg",""
"14.2.4","Wines (other than grape)","200","mg/kg",""
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","200","mg/kg",""
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","200","mg/kg",""
"09.4","Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms","30","mg/kg","XS90  XS119  XS3  XS94  XS70  435"
"06.4.3","Pre-cooked pastas and noodles and like products","300","mg/kg","194"
"05.1.3","Cocoa-based spreads, including fillings","100","mg/kg","XS86"
"05.1.4","Cocoa and chocolate products","100","mg/kg","183"
"05.1.5","Imitation chocolate, chocolate substitute products","100","mg/kg",""


(c) FAO and WHO 2009

