
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","1,300","mg/kg","XS243"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","5,000","mg/kg","234"
"01.3.2","Beverage whiteners","5,000","mg/kg","XS250  XS252"
"01.4.3","Clotted cream (plain)","5,000","mg/kg",""
"01.4.4","Cream analogues","2,500","mg/kg",""
"01.6.1","Unripened cheese","5,000","mg/kg","XS262"
"01.6.2.3","Cheese powder (for reconstitution; e.g. for cheese sauces)","16,000","mg/kg","353"
"01.6.4","Processed cheese","9,000","mg/kg",""
"01.6.5","Cheese analogues","9,000","mg/kg",""
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","6,000","mg/kg",""
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","3,000","mg/kg","359"
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","3,000","mg/kg",""
"03.0","Edible ices, including sherbet and sorbet","10,000","mg/kg",""
"04.1.2.5","Jams, jellies, marmelades","5,000","mg/kg","XS296  409"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","5,000","mg/kg","XS240  XS314R"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","6,000","mg/kg",""
"04.1.2.11","Fruit fillings for pastries","5,000","mg/kg",""
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","6,000","mg/kg","386  XS38  XS260"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","5,000","mg/kg","XS309R"
"05.3","Chewing gum","5,000","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","5,000","mg/kg",""
"06.4.1","Fresh pastas and noodles and like products","10,000","mg/kg","370"
"06.4.2","Dried pastas and noodles and like products","5,000","mg/kg","211"
"06.4.3","Pre-cooked pastas and noodles and like products","5,000","mg/kg","371  194"
"08.3","Processed comminuted meat, poultry, and game products","3,000","mg/kg","XS89  XS98  XS88"
"10.2.1","Liquid egg products","10,000","mg/kg",""
"10.2.2","Frozen egg products","10,000","mg/kg",""
"10.4","Egg-based desserts (e.g. custard)","3,000","mg/kg",""
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","10,000","mg/kg","258"
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","8,000","mg/kg",""
"12.6.3","Mixes for sauces and gravies","8,000","mg/kg","127"
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","1,200","mg/kg",""
"13.4","Dietetic formulae for slimming purposes and weight reduction","1,200","mg/kg",""
"13.6","Food supplements","1,000","mg/kg",""
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","500","mg/kg","160"
"14.2.1","Beer and malt beverages","500","mg/kg",""
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","3,000","mg/kg",""
"01.2.1.1","Fermented milks (plain), not heat-treated after fermentation","5,000","mg/kg","234  235"
"05.1.2","Cocoa mixes (syrups)","10,000","mg/kg",""
"05.1.3","Cocoa-based spreads, including fillings","10,000","mg/kg","XS86"
"07.1.1.1","Yeast-leavened breads and specialty breads","4,000","mg/kg",""
"07.1.2","Crackers, excluding sweet crackers","2,000","mg/kg",""
"07.1.5","Steamed breads and buns","500","mg/kg",""
"07.1.6","Mixes for bread and ordinary bakery wares","20,000","mg/kg","11"
"07.2.1","Cakes, cookies and pies (e.g. fruit-filled or custard types)","3,000","mg/kg",""
"07.2.2","Other fine bakery products (e.g. doughnuts, sweet rolls, scones, and muffins)","2,000","mg/kg",""
"07.2.3","Mixes for fine bakery wares (e.g. cakes, pancakes)","10,000","mg/kg","11"
"12.5.1","Ready-to-eat soups and broths, including canned, bottled, and frozen","10,000","mg/kg","XS117"
"14.1.4.1","Carbonated water-based flavoured drinks","500","mg/kg",""
"14.1.4.2","Non-carbonated water-based flavoured drinks, including punches and ades","500","mg/kg",""
"14.1.4.3","Concentrates (liquid or solid) for water-based flavoured drinks","500","mg/kg","127"


(c) FAO and WHO 2009

