
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","250","mg/kg","17  477"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","250","mg/kg","17  477"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","250","mg/kg","17  477"
"03.0","Edible ices, including sherbet and sorbet","250","mg/kg","17  477"
"04.1.2.4","Canned or bottled (pasteurized) fruit","1,000","mg/kg","17  XS319  477"
"04.1.2.5","Jams, jellies, marmelades","1,000","mg/kg","17  477"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","2,000","mg/kg","17  477"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","250","mg/kg","17  477"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","250","mg/kg","17  477"
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","250","mg/kg","17  477"
"05.1.2","Cocoa mixes (syrups)","250","mg/kg","17  127  477"
"05.1.3","Cocoa-based spreads, including fillings","500","mg/kg","17  XS86  477"
"05.1.4","Cocoa and chocolate products","500","mg/kg","17  477"
"05.1.5","Imitation chocolate, chocolate substitute products","500","mg/kg","17  477"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","500","mg/kg","17  156  XS309R  477"
"05.3","Chewing gum","3,000","mg/kg","17  477"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","500","mg/kg","17  477"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","250","mg/kg","17  477"
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","1,600","mg/kg","17  165"
"10.4","Egg-based desserts (e.g. custard)","250","mg/kg","17  477"
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","500","mg/kg","17  159"
"11.6","Table-top sweeteners, including those containing high-intensity sweeteners","","GMP","17"
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","500","mg/kg","17  477"
"12.7","Salads (e.g. macaroni salad, potato salad) and sandwich spreads excluding cocoa- and nut-based spreads of food categories 04.2.2.5 and 05.1.3","500","mg/kg","17  477"
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","400","mg/kg","17"
"13.4","Dietetic formulae for slimming purposes and weight reduction","400","mg/kg","17"
"13.5","Dietetic foods (e.g. supplementary foods for dietary use) excluding products of food categories 13.1 - 13.4 and 13.6","400","mg/kg","17"
"13.6","Food supplements","1,250","mg/kg","17"
"14.1.3.1","Fruit nectar","400","mg/kg","17  122"
"14.1.3.2","Vegetable nectar","400","mg/kg","17  477"
"14.1.3.3","Concentrates for fruit nectar","400","mg/kg","17  127  122"
"14.1.3.4","Concentrates for vegetable nectar","400","mg/kg","17  127  477"
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","250","mg/kg","17"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","350","mg/kg","17  127"


(c) FAO and WHO 2009

