
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","200","mg/kg","26  XS243"
"01.5.2","Milk and cream powder analogues","330","mg/kg","26  XS251  201"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","330","mg/kg","26"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","330","mg/kg","26"
"03.0","Edible ices, including sherbet and sorbet","270","mg/kg","26"
"04.1.2.3","Fruit in vinegar, oil, or brine","100","mg/kg","26"
"04.1.2.4","Canned or bottled (pasteurized) fruit","330","mg/kg","26  XS319"
"04.1.2.5","Jams, jellies, marmelades","360","mg/kg","26"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","330","mg/kg","26"
"04.1.2.7","Candied fruit","40","mg/kg","26"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","330","mg/kg","26"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","350","mg/kg","26"
"04.1.2.10","Fermented fruit products","115","mg/kg","26"
"04.1.2.11","Fruit fillings for pastries","330","mg/kg","26"
"04.1.2.12","Cooked fruit","40","mg/kg","26"
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","40","mg/kg","26"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","330","mg/kg","26"
"04.2.2.4","Canned or bottled (pasteurized) or retort pouch vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","70","mg/kg","26"
"04.2.2.5","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)","330","mg/kg","26"
