
"Number","Food Category","Max Level","Units","Notes"
"02.1.2","Vegetable oils and fats","200","mg/kg","46  XS33  511"
"02.1.3","Lard, tallow, fish oil, and other animal fats","200","mg/kg","46  XS211"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","200","mg/kg","46"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","200","mg/kg","46  XS166  15"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","1,000","mg/kg","46  15"
"15.0","Ready-to-eat savouries","200","mg/kg","46"


(c) FAO and WHO 2009

