
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","1,000","mg/kg",""
"01.3.2","Beverage whiteners","3,000","mg/kg","XS250  XS252"
"01.4.4","Cream analogues","5,000","mg/kg","2"
"01.6.5","Cheese analogues","2,000","mg/kg",""
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","5,000","mg/kg","355"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","10,000","mg/kg",""
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","3,000","mg/kg",""
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","5,000","mg/kg",""
"03.0","Edible ices, including sherbet and sorbet","5,000","mg/kg","15"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","2,000","mg/kg","XS240  XS314R"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","5,000","mg/kg",""
"04.1.2.11","Fruit fillings for pastries","2,000","mg/kg",""
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","5,000","mg/kg","76"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","5,000","mg/kg","XS309R"
"05.3","Chewing gum","2,000","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","2,000","mg/kg",""
"06.2.1","Flours","5,000","mg/kg","XS152  186"
"06.3","Breakfast cereals, including rolled oats","5,000","mg/kg",""
"06.4.2","Dried pastas and noodles and like products","5,000","mg/kg","211"
"06.4.3","Pre-cooked pastas and noodles and like products","5,000","mg/kg","371  194"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","6,000","mg/kg",""
"08.2.2","Heat-treated processed meat, poultry, and game products in whole pieces or cuts","2,000","mg/kg","XS96  XS97  373"
"08.3.2","Heat-treated processed comminuted meat, poultry, and game products","2,000","mg/kg","XS89  XS98  XS88"
"10.2.1","Liquid egg products","500","mg/kg",""
"10.2.2","Frozen egg products","500","mg/kg",""
"10.2.3","Dried and/or heat coagulated egg products","5,000","mg/kg",""
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","2,500","mg/kg","427"
"12.6.2","Non-emulsified sauces (e.g. ketchup, cheese sauce, cream sauce, brown gravy)","2,500","mg/kg","XS306R"
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","2,000","mg/kg",""
"13.4","Dietetic formulae for slimming purposes and weight reduction","2,000","mg/kg",""
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","8,000","mg/kg","430"
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","5,000","mg/kg","432"
"07.1.1.2","Soda breads","3,000","mg/kg",""
"07.1.2","Crackers, excluding sweet crackers","3,000","mg/kg",""
"07.1.3","Other ordinary bakery products (e.g. bagels, pita, English muffins)","5,000","mg/kg",""
"07.1.4","Bread-type products, including bread stuffing and bread crumbs","5,000","mg/kg",""
"07.1.5","Steamed breads and buns","3,000","mg/kg",""
"07.1.6","Mixes for bread and ordinary bakery wares","5,000","mg/kg",""
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","5,000","mg/kg",""
"07.1.1.1","Yeast-leavened breads and specialty breads","3,000","mg/kg","388"


(c) FAO and WHO 2009

