
"Number","Food Category","Max Level","Units","Notes"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP",""
"01.4.1","Pasteurized cream (plain)","","GMP",""
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP",""
"01.8.2","Dried whey and whey products, excluding whey cheeses","","GMP",""
"02.2.1","Butter","","GMP",""
"06.4.1","Fresh pastas and noodles and like products","","GMP",""
"06.4.2","Dried pastas and noodles and like products","","GMP","256"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","41"
"13.1.1","Infant formulae","2,000","mg/kg","72  55"
"13.1.2","Follow-up formulae","","GMP","72  316"
"13.1.3","Formulae for special medical purposes for infants","2,000","mg/kg","72  55"
"13.2","Complementary foods for infants and young children","","GMP","240  319  320"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","160"
"12.2.1","Herbs and spices","","GMP","534"


(c) FAO and WHO 2009

