
"Number","Food Category","Max Level","Units","Notes"
"01.1.3.2","Fluid buttermilk (plain)","","GMP","261"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP",""
"01.8.2","Dried whey and whey products, excluding whey cheeses","10,000","mg/kg",""
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","5,000","mg/kg","36"
"06.2.1","Flours","1,500","mg/kg",""
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS166  16"
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","","GMP","16"
"09.2.4","Cooked and/or fried fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP",""
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS244  XS167  XS311"
"11.1.2","Powdered sugar, powdered dextrose","15,000","mg/kg","56  465"
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","","GMP","258"
"12.1.1","Salt","","GMP",""
"12.1.2","Salt Substitutes","","GMP",""
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","160"
"12.2.1","Herbs and spices","","GMP","534"


(c) FAO and WHO 2009

