
"Number","Food Category","Max Level","Units","Notes"
"01.6.4","Processed cheese","1,600","mg/kg","6  251"
"06.2.1","Flours","1,600","mg/kg","6  XS152  252"
"06.6","Batters (e.g. for breading or batters for fish or poultry)","1,000","mg/kg","6"
"07.1.2","Crackers, excluding sweet crackers","100","mg/kg","6  246"
"07.1.3","Other ordinary bakery products (e.g. bagels, pita, English muffins)","100","mg/kg","6  244  246"
"07.1.5","Steamed breads and buns","40","mg/kg","6  248  246"
"07.1.6","Mixes for bread and ordinary bakery wares","40","mg/kg","6  249  246"


(c) FAO and WHO 2009

