
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","150","mg/kg","52  402"
"01.3.2","Beverage whiteners","100","mg/kg","XS250  XS252"
"01.4.4","Cream analogues","20","mg/kg",""
"01.5.2","Milk and cream powder analogues","100","mg/kg","XS251"
"01.6.1","Unripened cheese","100","mg/kg","489  490  XS273"
"01.6.2.1","Ripened cheese, includes rind","100","mg/kg","458  500  XS208  XS278"
"01.6.2.2","Rind of ripened cheese","500","mg/kg",""
"01.6.2.3","Cheese powder (for reconstitution; e.g. for cheese sauces)","100","mg/kg",""
"01.6.4","Processed cheese","100","mg/kg",""
"01.6.5","Cheese analogues","200","mg/kg",""
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","100","mg/kg",""
"02.1.3","Lard, tallow, fish oil, and other animal fats","25","mg/kg","XS329  512"
"02.2.1","Butter","25","mg/kg","146  291"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","35","mg/kg",""
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","200","mg/kg",""
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","150","mg/kg",""
"03.0","Edible ices, including sherbet and sorbet","200","mg/kg",""
"04.1.2.3","Fruit in vinegar, oil, or brine","1,000","mg/kg",""
"04.1.2.4","Canned or bottled (pasteurized) fruit","200","mg/kg","104  161"
"04.1.2.5","Jams, jellies, marmelades","200","mg/kg",""
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","500","mg/kg",""
"04.1.2.7","Candied fruit","200","mg/kg",""
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","100","mg/kg","182  161"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","150","mg/kg",""
"04.1.2.10","Fermented fruit products","500","mg/kg",""
"04.1.2.11","Fruit fillings for pastries","100","mg/kg",""
"04.2.1.2","Surface-treated fresh vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","500","mg/kg","4  16  161"
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","1,000","mg/kg","161"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","50","mg/kg","161"
"04.2.2.4","Canned or bottled (pasteurized) or retort pouch vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","50","mg/kg","161"
"04.2.2.5","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)","50","mg/kg","161"
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","50","mg/kg","92  161"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","50","mg/kg",""
"05.1.3","Cocoa-based spreads, including fillings","100","mg/kg","XS86  161"
"05.1.4","Cocoa and chocolate products","100","mg/kg","183"
"05.1.5","Imitation chocolate, chocolate substitute products","100","mg/kg",""
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","100","mg/kg","XS309R"
"05.3","Chewing gum","100","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","100","mg/kg",""
"06.3","Breakfast cereals, including rolled oats","200","mg/kg",""
