
"Number","Food Category","Max Level","Units","Notes"
"04.1.1.2","Surface-treated fresh fruit","","GMP",""
"05.3","Chewing gum","10,000","mg/kg",""
"11.6","Table-top sweeteners, including those containing high-intensity sweeteners","3,000","mg/kg",""
"12.3","Vinegars","40","mg/kg",""
"13.6","Food supplements","","GMP",""
"14.1.4.3","Concentrates (liquid or solid) for water-based flavoured drinks","500","mg/kg",""
"14.2.1","Beer and malt beverages","10","mg/kg","36"
"14.2.2","Cider and perry","2","mg/kg","36"


(c) FAO and WHO 2009

