
"Number","Food Category","Max Level","Units","Notes"
"01.5.1","Milk powder and cream powder (plain)","10","mg/kg",""
"02.1.2","Vegetable oils and fats","10","mg/kg","XS33  511  524"
"02.1.3","Lard, tallow, fish oil, and other animal fats","10","mg/kg","XS211  523"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","10","mg/kg","152"
"04.1.2.3","Fruit in vinegar, oil, or brine","10","mg/kg",""
"04.1.2.4","Canned or bottled (pasteurized) fruit","10","mg/kg","266"
"04.1.2.5","Jams, jellies, marmelades","30","mg/kg",""
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","10","mg/kg",""
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","110","mg/kg",""
"04.1.2.10","Fermented fruit products","10","mg/kg",""
"04.2.2.1","Frozen vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","10","mg/kg","15"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","10","mg/kg",""
"04.2.2.4","Canned or bottled (pasteurized) or retort pouch vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","10","mg/kg",""
"04.2.2.5","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)","10","mg/kg",""
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","50","mg/kg",""
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","10","mg/kg",""
"05.1.5","Imitation chocolate, chocolate substitute products","10","mg/kg",""
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","10","mg/kg","XS309R"
"05.3","Chewing gum","100","mg/kg",""
"06.4.3","Pre-cooked pastas and noodles and like products","50","mg/kg","153"
"06.6","Batters (e.g. for breading or batters for fish or poultry)","10","mg/kg",""
"12.5","Soups and broths","10","mg/kg",""
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","50","mg/kg",""
"13.4","Dietetic formulae for slimming purposes and weight reduction","50","mg/kg",""
"13.5","Dietetic foods (e.g. supplementary foods for dietary use) excluding products of food categories 13.1 - 13.4 and 13.6","50","mg/kg",""
"13.6","Food supplements","50","mg/kg",""
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","20","mg/kg",""
"14.2.1","Beer and malt beverages","10","mg/kg",""
"14.2.2","Cider and perry","10","mg/kg",""
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","10","mg/kg",""


(c) FAO and WHO 2009

