
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","2,000","mg/kg",""
"01.3.2","Beverage whiteners","5,000","mg/kg","352  XS250  XS252"
"01.6.4","Processed cheese","5,000","mg/kg",""
"01.6.5","Cheese analogues","5,000","mg/kg",""
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","5,000","mg/kg","XS243  354"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","5,000","mg/kg","359"
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","20,000","mg/kg","363"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","2,000","mg/kg",""
"03.0","Edible ices, including sherbet and sorbet","5,000","mg/kg",""
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","5,000","mg/kg","XS240  XS314R"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","5,000","mg/kg",""
"04.1.2.11","Fruit fillings for pastries","2,000","mg/kg",""
"05.1.1","Cocoa mixes (powders) and cocoa mass/cake","5,000","mg/kg","XS141  97"
"05.1.5","Imitation chocolate, chocolate substitute products","2,000","mg/kg","366"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","2,000","mg/kg","XS309R  367"
"05.3","Chewing gum","5,000","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","2,000","mg/kg","368"
"06.3","Breakfast cereals, including rolled oats","10,000","mg/kg","369"
"06.4.3","Pre-cooked pastas and noodles and like products","2,000","mg/kg","194"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","9,000","mg/kg",""
"07.1.1","Breads and rolls","10,000","mg/kg","372"
"07.1.2","Crackers, excluding sweet crackers","6,000","mg/kg",""
"07.1.3","Other ordinary bakery products (e.g. bagels, pita, English muffins)","6,000","mg/kg",""
"07.1.4","Bread-type products, including bread stuffing and bread crumbs","10,000","mg/kg",""
"07.1.5","Steamed breads and buns","10,000","mg/kg",""
"07.1.6","Mixes for bread and ordinary bakery wares","15,000","mg/kg","11"
"10.2","Egg products","1,000","mg/kg",""
"10.4","Egg-based desserts (e.g. custard)","6,000","mg/kg",""
"12.5.1","Ready-to-eat soups and broths, including canned, bottled, and frozen","400","mg/kg","XS117"
"12.5.2","Mixes for soups and broths","3,000","mg/kg","XS117  127"
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","5,000","mg/kg",""
"12.6.2","Non-emulsified sauces (e.g. ketchup, cheese sauce, cream sauce, brown gravy)","5,000","mg/kg","XS306R"
"12.6.3","Mixes for sauces and gravies","5,000","mg/kg","127"
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","1,000","mg/kg",""
"13.4","Dietetic formulae for slimming purposes and weight reduction","1,000","mg/kg",""
"13.6","Food supplements","18,000","mg/kg",""
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","5,000","mg/kg","127"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","5,000","mg/kg","127"
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","20","mg/kg",""
"01.4.4","Cream analogues","8,000","mg/kg",""
"01.5.2","Milk and cream powder analogues","5,000","mg/kg","XS251"
"01.4.1","Pasteurized cream (plain)","6,000","mg/kg",""
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","6,000","mg/kg",""
"01.4.3","Clotted cream (plain)","6,000","mg/kg",""
"07.2.1","Cakes, cookies and pies (e.g. fruit-filled or custard types)","10,000","mg/kg",""
"07.2.2","Other fine bakery products (e.g. doughnuts, sweet rolls, scones, and muffins)","10,000","mg/kg",""
"07.2.3","Mixes for fine bakery wares (e.g. cakes, pancakes)","16,000","mg/kg","451"
"08.4","Edible casings (e.g. sausage casings)","5,000","mg/kg","365"
"01.1.2","Other fluid milk (plain)","1,000","mg/kg","410"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","5,000","mg/kg","241"
"09.2.4.1","Cooked fish and fish products","1,000","mg/kg","412"
"09.2.4.3","Fried fish and fish products, including mollusks, crustaceans, and echinoderms","5,000","mg/kg","41"
"09.3.1","Fish and fish products, including mollusks, crustaceans, and echinoderms, marinated and/or in jelly","1,000","mg/kg","414"
"09.3.2","Fish and fish products, including mollusks, crustaceans, and echinoderms, pickled and/or in brine","1,000","mg/kg","415"
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","2,000","mg/kg",""


(c) FAO and WHO 2009

