
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","10","mg/kg","185  52"
"05.1.3","Cocoa-based spreads, including fillings","30","mg/kg","185  XS86"
"05.1.5","Imitation chocolate, chocolate substitute products","25","mg/kg","185"
"05.3","Chewing gum","50","mg/kg","185"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","25","mg/kg","185  446"
"13.6","Food supplements","100","mg/kg","185  539"
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","10","mg/kg","185"
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","10","mg/kg","185"
"05.2.1","Hard candy","30","mg/kg","185  440"
"05.2.2","Soft candy","30","mg/kg","185  440  443"
"05.2.3","Nougats and marzipans","30","mg/kg","185"
"01.6.2.1","Ripened cheese, includes rind","25","mg/kg","185  506  XS208  XS278  463"
"01.6.1","Unripened cheese","25","mg/kg","185  XS273  485"


(c) FAO and WHO 2009

