
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","150","mg/kg","178  52"
"01.6.2.1","Ripened cheese, includes rind","125","mg/kg","178  505  XS277  XS276  XS263  XS208  XS274  XS264  XS265  XS269  XS278  XS266  XS267  XS272  XS271  XS268  XS270"
"01.6.4.2","Flavoured processed cheese, including containing fruit, vegetables, meat, etc.","100","mg/kg","178"
"01.6.5","Cheese analogues","100","mg/kg","178  3"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","150","mg/kg","178"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","500","mg/kg","178  161"
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","500","mg/kg","178  161"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","150","mg/kg","178"
"03.0","Edible ices, including sherbet and sorbet","150","mg/kg","178"
"04.1.1.2","Surface-treated fresh fruit","500","mg/kg","178  4  16"
"04.1.2.4","Canned or bottled (pasteurized) fruit","200","mg/kg","178  104"
"04.1.2.5","Jams, jellies, marmelades","200","mg/kg","178"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","500","mg/kg","178"
"04.1.2.7","Candied fruit","200","mg/kg","178"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","500","mg/kg","178  182"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","150","mg/kg","178"
"04.1.2.11","Fruit fillings for pastries","300","mg/kg","178"
"04.2.1.2","Surface-treated fresh vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","500","mg/kg","178  4  16"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","500","mg/kg","178  161"
"04.2.2.5","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)","100","mg/kg","178"
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","200","mg/kg","178  92"
"05.1.2","Cocoa mixes (syrups)","300","mg/kg","178"
"05.1.5","Imitation chocolate, chocolate substitute products","300","mg/kg","178"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","300","mg/kg","178  XS309R"
"05.3","Chewing gum","500","mg/kg","178"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","500","mg/kg","178"
"06.3","Breakfast cereals, including rolled oats","200","mg/kg","178"
"06.4.3","Pre-cooked pastas and noodles and like products","100","mg/kg","178  153"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","150","mg/kg","178"
"06.6","Batters (e.g. for breading or batters for fish or poultry)","500","mg/kg","178"
"07.1.4","Bread-type products, including bread stuffing and bread crumbs","500","mg/kg","178"
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","200","mg/kg","178"
"08.1.1","Fresh meat, poultry, and game, whole pieces or cuts","500","mg/kg","178  4  16"
"08.1.2","Fresh meat, poultry, and game, comminuted","100","mg/kg","178  117  4  16"
"08.2","Processed meat, poultry, and game products in whole pieces or cuts","500","mg/kg","178  XS96  XS97  16"
"08.3.1.1","Cured (including salted) non-heat treated processed comminuted meat, poultry, and game products","200","mg/kg","178  118"
"08.3.1.2","Cured (including salted) and dried non-heat treated processed comminuted meat, poultry, and game products","100","mg/kg","178"
"08.3.1.3","Fermented non-heat treated processed comminuted meat, poultry, and game products","100","mg/kg","178"
"08.3.2","Heat-treated processed comminuted meat, poultry, and game products","100","mg/kg","178  XS89  XS98  XS88"
"08.3.3","Frozen processed comminuted meat, poultry, and game products","500","mg/kg","178  16"
"08.4","Edible casings (e.g. sausage casings)","500","mg/kg","178  16"
"09.1.1","Fresh fish","300","mg/kg","178  4  50  16"
"09.1.2","Fresh mollusks, crustaceans, and echinoderms","500","mg/kg","178  XS315  XS312  XS292  4  16"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","100","mg/kg","178  XS315  XS312  XS292  XS165  XS36  XS190  XS95  XS191  XS92  95"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","500","mg/kg","178  XS166  95  16"
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","500","mg/kg","178  16"
"09.2.4.1","Cooked fish and fish products","500","mg/kg","178"
"09.2.4.2","Cooked mollusks, crustaceans, and echinoderms","250","mg/kg","178"
"09.2.4.3","Fried fish and fish products, including mollusks, crustaceans, and echinoderms","500","mg/kg","178  95  16"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","300","mg/kg","178  XS236  XS222  XS189  XS244  XS167  XS311  22"
"09.3.1","Fish and fish products, including mollusks, crustaceans, and echinoderms, marinated and/or in jelly","500","mg/kg","178  16"
"09.3.2","Fish and fish products, including mollusks, crustaceans, and echinoderms, pickled and/or in brine","500","mg/kg","178  16"
"09.3.3","Salmon substitutes, caviar, and other fish roe products","500","mg/kg","178  XS291"
"09.3.4","Semi-preserved fish and fish products, including mollusks, crustaceans, and echinoderms (e.g. fish paste), excluding products of food categories 09.3.1 - 09.3.3","100","mg/kg","178"
"09.4","Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms","500","mg/kg","178  XS90  XS119  XS3  XS94  XS37  XS70  16"
"10.1","Fresh eggs","","GMP","178  4"
"10.4","Egg-based desserts (e.g. custard)","150","mg/kg","178"
"12.2.2","Seasonings and condiments","500","mg/kg","178"
"12.4","Mustards","300","mg/kg","178"
"12.5","Soups and broths","50","mg/kg","178"
"12.6","Sauces and like products","500","mg/kg","178  XS302"
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","50","mg/kg","178"
"13.4","Dietetic formulae for slimming purposes and weight reduction","50","mg/kg","178"
"13.5","Dietetic foods (e.g. supplementary foods for dietary use) excluding products of food categories 13.1 - 13.4 and 13.6","300","mg/kg","178"
"13.6","Food supplements","300","mg/kg","178"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","100","mg/kg","178"
"14.2.1","Beer and malt beverages","100","mg/kg","178"
"14.2.2","Cider and perry","200","mg/kg","178"
"14.2.4","Wines (other than grape)","200","mg/kg","178"
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","200","mg/kg","178"
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","200","mg/kg","178"
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","200","mg/kg","178"
"15.2","Processed nuts, including coated nuts and nut mixtures (with e.g. dried fruit)","100","mg/kg","178"
"15.3","Snacks - fish based","200","mg/kg","178"
"07.1.2","Crackers, excluding sweet crackers","200","mg/kg","178"
"06.8.1","Soybean-based beverages","100","mg/kg","178"


(c) FAO and WHO 2009

