
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","100","mg/kg","181  52  402"
"01.4.4","Cream analogues","150","mg/kg","181  201"
"01.5.2","Milk and cream powder analogues","150","mg/kg","181  XS251  201"
"01.6.2.2","Rind of ripened cheese","1,000","mg/kg",""
"01.6.4.2","Flavoured processed cheese, including containing fruit, vegetables, meat, etc.","1,000","mg/kg",""
"01.6.5","Cheese analogues","1,000","mg/kg",""
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","200","mg/kg","181"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","200","mg/kg","181"
"03.0","Edible ices, including sherbet and sorbet","100","mg/kg","181"
"04.1.2.3","Fruit in vinegar, oil, or brine","1,500","mg/kg","161"
"04.1.2.4","Canned or bottled (pasteurized) fruit","1,500","mg/kg","181  267"
"04.1.2.5","Jams, jellies, marmelades","500","mg/kg","181  161"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","500","mg/kg","181  161"
"04.1.2.7","Candied fruit","1,000","mg/kg",""
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","500","mg/kg","181  182  179"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","500","mg/kg","181  161"
"04.1.2.10","Fermented fruit products","500","mg/kg","181  161"
"04.1.2.11","Fruit fillings for pastries","500","mg/kg","181  161"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","100","mg/kg","181  179"
"04.2.2.5","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)","100","mg/kg","181  179"
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","100","mg/kg","181  92"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","100","mg/kg","181  161"
"05.1.5","Imitation chocolate, chocolate substitute products","200","mg/kg","181"
"05.3","Chewing gum","500","mg/kg","181"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","500","mg/kg","181"
"06.3","Breakfast cereals, including rolled oats","200","mg/kg",""
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","200","mg/kg","181"
"08.1.2","Fresh meat, poultry, and game, comminuted","1,000","mg/kg","4  16  94"
"08.2","Processed meat, poultry, and game products in whole pieces or cuts","5,000","mg/kg","XS96  XS97  16"
"08.4","Edible casings (e.g. sausage casings)","5,000","mg/kg",""
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","500","mg/kg","XS166  16"
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","","GMP","95  16"
"09.2.4.1","Cooked fish and fish products","500","mg/kg","95"
"09.2.4.2","Cooked mollusks, crustaceans, and echinoderms","1,000","mg/kg",""
"09.2.4.3","Fried fish and fish products, including mollusks, crustaceans, and echinoderms","1,000","mg/kg","95  16"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","1,000","mg/kg","XS236  XS222  XS189  XS244  XS167  XS311  22"
"09.3.1","Fish and fish products, including mollusks, crustaceans, and echinoderms, marinated and/or in jelly","500","mg/kg","16"
"09.3.2","Fish and fish products, including mollusks, crustaceans, and echinoderms, pickled and/or in brine","1,500","mg/kg","16"
"09.3.3","Salmon substitutes, caviar, and other fish roe products","1,500","mg/kg","XS291"
"09.3.4","Semi-preserved fish and fish products, including mollusks, crustaceans, and echinoderms (e.g. fish paste), excluding products of food categories 09.3.1 - 09.3.3","1,500","mg/kg","16"
"09.4","Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms","1,500","mg/kg","XS90  XS119  XS3  XS94  XS37  XS70  16"
"10.1","Fresh eggs","1,500","mg/kg","4"
"10.4","Egg-based desserts (e.g. custard)","200","mg/kg","181"
"12.4","Mustards","200","mg/kg","181"
