
"Number","Food Category","Max Level","Units","Notes"
"04.1.1.2","Surface-treated fresh fruit","","GMP",""
"04.2.1.2","Surface-treated fresh vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","","GMP","79"
"05.1.4","Cocoa and chocolate products","","GMP","3"
"05.1.5","Imitation chocolate, chocolate substitute products","","GMP","3"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","","GMP","XS309R  3"
"05.3","Chewing gum","","GMP","3"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","","GMP",""
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","","GMP","3"
"13.6","Food supplements","","GMP","3"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","108"
"15.0","Ready-to-eat savouries","","GMP","3"


(c) FAO and WHO 2009

