
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","15","mg/kg","52  170"
"01.6.1","Unripened cheese","15","mg/kg","XS221  XS273  XS275  201"
"01.6.2","Ripened cheese","15","mg/kg","XS283  XS221  XS277  XS276  XS263  XS208  XS274  XS264  XS265  XS269  XS266  XS267  XS272  XS271  XS268  XS270  201"
"01.6.4.2","Flavoured processed cheese, including containing fruit, vegetables, meat, etc.","15","mg/kg",""
"01.6.5","Cheese analogues","15","mg/kg",""
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","15","mg/kg","170"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","15","mg/kg","214  215"
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","15","mg/kg",""
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","15","mg/kg",""
"04.1.2.5","Jams, jellies, marmelades","200","mg/kg","5"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","15","mg/kg",""
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","15","mg/kg",""
"04.1.2.11","Fruit fillings for pastries","15","mg/kg",""
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","10","mg/kg",""
"06.4.2","Dried pastas and noodles and like products","15","mg/kg","211"
"06.4.3","Pre-cooked pastas and noodles and like products","15","mg/kg","XS249  153"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","15","mg/kg",""
"08.3.1.1","Cured (including salted) non-heat treated processed comminuted meat, poultry, and game products","100","mg/kg","118  4  16"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","35","mg/kg","XS315  XS312  XS292  XS165  XS36  XS190  XS95  XS191  XS92  95"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","15","mg/kg","XS236  XS222  XS189  XS244  XS167  XS311  22"
"09.3.3","Salmon substitutes, caviar, and other fish roe products","15","mg/kg","XS291"
"09.4","Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms","15","mg/kg","XS90  XS119  XS3  XS94  XS37  XS70"
"10.1","Fresh eggs","","GMP","4"
"10.4","Egg-based desserts (e.g. custard)","15","mg/kg",""
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","15","mg/kg",""
"12.2.2","Seasonings and condiments","20","mg/kg",""
"12.5.2","Mixes for soups and broths","30","mg/kg","XS117"
"12.6","Sauces and like products","30","mg/kg","XS302"
"14.1.4.2","Non-carbonated water-based flavoured drinks, including punches and ades","5","mg/kg",""
"14.1.4.3","Concentrates (liquid or solid) for water-based flavoured drinks","5","mg/kg","127"
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","5","mg/kg",""
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","5","mg/kg",""
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","45","mg/kg",""
"14.1.4.1","Carbonated water-based flavoured drinks","5","mg/kg",""


(c) FAO and WHO 2009

