
"Number","Food Category","Max Level","Units","Notes"
"01.6.1","Unripened cheese","1,500","mg/kg","45  351"
"01.6.4","Processed cheese","30,000","mg/kg","45"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","2,000","mg/kg","45  449"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","100","mg/kg","45  361"
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","100","mg/kg","45"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","100","mg/kg","45"
"03.0","Edible ices, including sherbet and sorbet","4,000","mg/kg","45"
"04.1.2.3","Fruit in vinegar, oil, or brine","1,000","mg/kg","45"
"04.1.2.5","Jams, jellies, marmelades","3,000","mg/kg","45"
"04.1.2.7","Candied fruit","20,000","mg/kg","45"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","1,000","mg/kg","45"
"04.1.2.11","Fruit fillings for pastries","10,000","mg/kg","45"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","15,000","mg/kg","45  XS38  XS115"
"04.2.2.4","Canned or bottled (pasteurized) or retort pouch vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","1,300","mg/kg","45  XS257R  XS259R  XS38  XS145  XS297  XS13  XS57"
"05.1.1","Cocoa mixes (powders) and cocoa mass/cake","5,000","mg/kg","45  97  128"
"05.1.2","Cocoa mixes (syrups)","2,000","mg/kg","45"
"05.1.3","Cocoa-based spreads, including fillings","2,000","mg/kg","45  XS86"
"05.1.4","Cocoa and chocolate products","5,000","mg/kg","45  128"
"05.1.5","Imitation chocolate, chocolate substitute products","5,000","mg/kg","45"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","5,000","mg/kg","45  450  XS309R"
"05.3","Chewing gum","30,000","mg/kg","45"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","8,000","mg/kg","45"
"06.4.1","Fresh pastas and noodles and like products","5,000","mg/kg","45  128"
"06.4.3","Pre-cooked pastas and noodles and like products","7,500","mg/kg","45  128"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","2,860","mg/kg","45"
"10.4","Egg-based desserts (e.g. custard)","2,000","mg/kg","45"
"11.6","Table-top sweeteners, including those containing high-intensity sweeteners","2,000","mg/kg","45"
"12.2.2","Seasonings and condiments","7,500","mg/kg","45"
"12.4","Mustards","5,000","mg/kg","45"
"12.5","Soups and broths","5,000","mg/kg","45  XS117"
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","2,000","mg/kg","45"
"12.6.2","Non-emulsified sauces (e.g. ketchup, cheese sauce, cream sauce, brown gravy)","5,000","mg/kg","45  XS306R"
"12.6.3","Mixes for sauces and gravies","5,000","mg/kg","45  127"
"13.2","Complementary foods for infants and young children","5,000","mg/kg","428  45  XS73  364"
"13.6","Food supplements","5,000","mg/kg","45"
"14.1.2.1","Fruit juice","4,000","mg/kg","45  129  128"
"14.1.2.3","Concentrates for fruit juice","4,000","mg/kg","45  129  127  128"
"14.1.3.1","Fruit nectar","4,000","mg/kg","45  128"
"14.1.3.3","Concentrates for fruit nectar","4,000","mg/kg","45  127  128"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","800","mg/kg","45"
"14.2.1","Beer and malt beverages","2,000","mg/kg","45"
"14.2.2","Cider and perry","2,000","mg/kg","45"
"14.2.4","Wines (other than grape)","4,000","mg/kg","45"
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","3,000","mg/kg","45  431"
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","4,000","mg/kg","45"
"15.0","Ready-to-eat savouries","2,000","mg/kg","45"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","2,000","mg/kg","45  230"
"06.2.1","Flours","5,000","mg/kg","45  XS152  186"
"06.2.2","Starches","2,000","mg/kg","45"
"07.1","Bread and ordinary bakery wares","4,000","mg/kg","45  388"
"07.2.1","Cakes, cookies and pies (e.g. fruit-filled or custard types)","5,000","mg/kg","45"
"07.2.2","Other fine bakery products (e.g. doughnuts, sweet rolls, scones, and muffins)","500","mg/kg","45"
"07.2.3","Mixes for fine bakery wares (e.g. cakes, pancakes)","8,000","mg/kg","45  11"
"08.3.1","Non-heat treated processed comminuted meat, poultry, and game products","500","mg/kg","45"
"08.3.2","Heat-treated processed comminuted meat, poultry, and game products","500","mg/kg","45  XS89  XS98  XS88"
"08.3.3","Frozen processed comminuted meat, poultry, and game products","500","mg/kg","45"
"08.4","Edible casings (e.g. sausage casings)","2,000","mg/kg","45  365"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","200","mg/kg","45  XS236  XS222  XS189  XS244  XS167  382  128"


(c) FAO and WHO 2009

