
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","600","mg/kg","405  191  478"
"01.3.2","Beverage whiteners","6,000","mg/kg","XS250  XS252  201  191  478"
"01.4.4","Cream analogues","1,000","mg/kg","68  191  478"
"01.5.2","Milk and cream powder analogues","2,000","mg/kg","XS251  408  191  478"
"01.6.1","Unripened cheese","1,000","mg/kg","XS221  XS273  XS275  XS262  201  191  478"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","1,000","mg/kg","191  478"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","1,000","mg/kg","191  478"
"03.0","Edible ices, including sherbet and sorbet","1,000","mg/kg","191  478"
"04.1.2.1","Frozen fruit","2,000","mg/kg","358  191  478"
"04.1.2.3","Fruit in vinegar, oil, or brine","300","mg/kg","144  191"
"04.1.2.4","Canned or bottled (pasteurized) fruit","1,000","mg/kg","XS319  191  478"
"04.1.2.5","Jams, jellies, marmelades","1,000","mg/kg","191  478"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","1,000","mg/kg","191  478"
"04.1.2.7","Candied fruit","2,000","mg/kg","191  478"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","1,000","mg/kg","191  478"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","1,000","mg/kg","191  478"
"04.1.2.10","Fermented fruit products","1,000","mg/kg","191  478"
"04.1.2.11","Fruit fillings for pastries","1,000","mg/kg","191  478"
"04.1.2.12","Cooked fruit","1,000","mg/kg","191  478"
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","1,000","mg/kg","348  144  191"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","300","mg/kg","144  191"
"04.2.2.4","Canned or bottled (pasteurized) or retort pouch vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","1,000","mg/kg","191  478"
"04.2.2.5","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)","1,000","mg/kg","191  478"
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","1,000","mg/kg","191  478"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","2,500","mg/kg","144  191"
"04.2.2.8","Cooked or fried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","1,000","mg/kg","345  144  191  478"
"05.1.1","Cocoa mixes (powders) and cocoa mass/cake","3,000","mg/kg","XS141  191  97"
"05.1.2","Cocoa mixes (syrups)","1,000","mg/kg","191  478"
"05.1.3","Cocoa-based spreads, including fillings","3,000","mg/kg","XS86  191  478"
"05.1.4","Cocoa and chocolate products","3,000","mg/kg","37  191  478"
"05.1.5","Imitation chocolate, chocolate substitute products","3,000","mg/kg","191  478"
"05.2.1","Hard candy","3,000","mg/kg","148  478"
"05.2.2","Soft candy","3,000","mg/kg","148  XS309R  478"
"05.2.3","Nougats and marzipans","3,000","mg/kg","191  478"
"05.3","Chewing gum","10,000","mg/kg","191  478"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","1,000","mg/kg","191  478"
"06.3","Breakfast cereals, including rolled oats","1,000","mg/kg","191  478"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","1,000","mg/kg","191  478"
"07.1","Bread and ordinary bakery wares","4,000","mg/kg","191  161"
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","1,700","mg/kg","165  191"
"09.2","Processed fish and fish products, including mollusks, crustaceans, and echinoderms","300","mg/kg","XS236  XS222  XS189  XS315  XS312  XS292  XS165  XS36  XS190  XS166  XS95  XS191  XS92  XS244  XS167  XS311  144  191"
"09.3","Semi-preserved fish and fish products, including mollusks, crustaceans, and echinoderms","300","mg/kg","XS291  144  191"
"09.4","Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms","300","mg/kg","XS90  XS119  XS3  XS94  XS37  XS70  144  191"
"10.4","Egg-based desserts (e.g. custard)","1,000","mg/kg","191  478"
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","3,000","mg/kg","159  191"
"11.6","Table-top sweeteners, including those containing high-intensity sweeteners","","GMP","191"
"12.2.2","Seasonings and condiments","2,000","mg/kg","191  161"
"12.3","Vinegars","3,000","mg/kg","277  191  478"
"12.4","Mustards","350","mg/kg","191"
"12.5","Soups and broths","1,200","mg/kg","XS117  188  478"
"12.6","Sauces and like products","350","mg/kg","191"
"12.7","Salads (e.g. macaroni salad, potato salad) and sandwich spreads excluding cocoa- and nut-based spreads of food categories 04.2.2.5 and 05.1.3","350","mg/kg","166  478"
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","1,000","mg/kg","191"
"13.4","Dietetic formulae for slimming purposes and weight reduction","800","mg/kg","191"
