
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","350","mg/kg","113  477"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","350","mg/kg","113  477"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","350","mg/kg","113  477"
"03.0","Edible ices, including sherbet and sorbet","1,000","mg/kg","119  477"
"04.1.2.4","Canned or bottled (pasteurized) fruit","350","mg/kg","113  XS319  477"
"04.1.2.5","Jams, jellies, marmelades","1,000","mg/kg","119  477"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","1,000","mg/kg","119  XS160  477"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","350","mg/kg","113  477"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","350","mg/kg","113  477"
"04.1.2.10","Fermented fruit products","350","mg/kg","113  477"
"04.1.2.12","Cooked fruit","500","mg/kg","113  477"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","200","mg/kg","113  144"
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","350","mg/kg","113  477"
"05.1.3","Cocoa-based spreads, including fillings","1,000","mg/kg","113  XS86  477"
"05.1.4","Cocoa and chocolate products","500","mg/kg","113  477"
"05.1.5","Imitation chocolate, chocolate substitute products","500","mg/kg","113  477"
"05.3","Chewing gum","5,000","mg/kg","113  477"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","500","mg/kg","113  477"
"06.3","Breakfast cereals, including rolled oats","1,000","mg/kg","119  477"
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","1,000","mg/kg","113  77"
"09.3","Semi-preserved fish and fish products, including mollusks, crustaceans, and echinoderms","200","mg/kg","113  XS291"
"09.4","Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms","200","mg/kg","113  XS90  XS119  XS3  XS94  XS37  XS70"
"10.4","Egg-based desserts (e.g. custard)","350","mg/kg","113  477"
"11.6","Table-top sweeteners, including those containing high-intensity sweeteners","","GMP",""
"12.5","Soups and broths","110","mg/kg","113  XS117  138  477"
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","500","mg/kg","113"
"13.4","Dietetic formulae for slimming purposes and weight reduction","450","mg/kg","113"
"13.5","Dietetic foods (e.g. supplementary foods for dietary use) excluding products of food categories 13.1 - 13.4 and 13.6","450","mg/kg","113"
"13.6","Food supplements","2,000","mg/kg","113"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","600","mg/kg","119  477"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","600","mg/kg","119  160  477"
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","350","mg/kg","113"


(c) FAO and WHO 2009

