编号,食品分类,最大使用量,备注
12.1.2,代盐制品,良好生产规范
09.2.3,冷冻切碎的加稀奶油的鱼糜制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范,注释311
09.2.2,冷冻拖面糊的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范,注释XS166,注释309
09.2.1,冷冻的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范,注释XS312,注释XS190,注释XS191,注释XS292,注释XS95,注释XS92,注释XS165,注释XS315,注释XS36,注释95
04.2.2.7,发酵蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻制品，不包括食品类别06.8.6、06.8.7、12.9.1、12.9.2.1和12.9.2.3中的发酵豆制品,良好生产规范,注释279
14.1.5,咖啡，咖啡替代品，茶，香草饮料和其他热的谷物饮料，不包括可可,良好生产规范,注释201
06.4.2,干面制品、面条及其类似产品,良好生产规范,注释256
09.2.4,烹调和/或油炸的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范,注释312
09.2.5,经烟熏，干制，发酵，和/或盐腌的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范,注释XS189,注释XS222,注释XS236,注释XS311,注释XS167,注释29,注释XS244
08.1,鲜畜、禽肉和野味,良好生产规范,注释16
