编号,食品分类,最大使用量,备注
09.3.3,三文鱼替代品，鱼子酱及其他鱼子制品,1,000 mg/kg,注释XS291
12.6.1,乳化沙司（如蛋黄酱，沙拉酱）,2,000 mg/kg
01.7,乳基甜点（如布丁、水果或调味酸乳）,1,000 mg/kg
01.5.2,乳粉和稀奶油粉类似产品,1,000 mg/kg,注释XS251
15.1,以土豆、谷物、面粉或淀粉（来自块根，豆类）为原料的零食,100 mg/kg
15.3,以鱼为原料的零食,100 mg/kg
09.4,全保藏的鱼和鱼制品，包括罐装或发酵的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,500 mg/kg,注释XS90,注释XS70,注释XS3,注释XS94,注释XS37,注释XS119
11.4,其他糖和糖浆（如，木糖，枫糖浆和糖的顶饰）,50 mg/kg
01.6.4,再制干酪,1,000 mg/kg
09.2.3,冷冻切碎的加稀奶油的鱼糜制品，包括软体动物，甲壳类和棘皮类动物,1,000 mg/kg,注释16
09.2.2,冷冻拖面糊的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,100 mg/kg,注释304
08.3.3,冷冻的加工碎畜、禽肉和野味制品,5,000 mg/kg,注释16
15.2,加工坚果，包括有涂层的坚果和坚果混合物（如与干制水果混合）,20,000 mg/kg,注释3
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,600 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,500 mg/kg,注释XS309R
09.3.4,半保藏的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物（如鱼酱），不包括09.3.1-09.3.3类,1,000 mg/kg,注释16
04.1.2.10,发酵水果制品,200 mg/kg
04.2.2.7,发酵蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻制品，不包括食品类别06.8.6、06.8.7、12.9.1、12.9.2.1和12.9.2.3中的发酵豆制品,1,000 mg/kg
05.3,口香糖,500 mg/kg
05.1.4,可可和巧克力制品,100 mg/kg,注释183
05.1.3,可可涂抹物，包括馅料,100 mg/kg,注释XS86
08.4,可食用肠衣（如香肠肠衣）,5,000 mg/kg
14.2.1,啤酒和麦芽饮料,600 mg/kg
04.2.2.2,干制蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,200 mg/kg
01.6.5,干酪类似产品,1,000 mg/kg,注释3
01.6.2.3,干酪粉（用水冲调复原；如干酪沙司）,1,000 mg/kg
06.4.2,干面制品、面条及其类似产品,1,000 mg/kg,注释211
08.2,整块或分割的加工畜、禽肉和野味,5,000 mg/kg,注释XS97,注释XS96,注释16
06.3,早餐谷物，包括燕麦片,400 mg/kg
08.3.1,未经热处理的加工碎畜、禽肉和野味制品,20 mg/kg,注释118
04.1.2.6,果基涂抹物（如印度酸辣酱），不包括04.1.2.5类的食品,500 mg/kg
04.1.2.9,果基甜点，包括水基果味甜点,1,000 mg/kg
14.2.4,果酒（不包括葡萄）,600 mg/kg
04.1.2.5,果酱、果冻、柑橘果酱,1,000 mg/kg
02.1.2,植物油脂,1,000 mg/kg,注释509,注释XS210,注释517,注释XS33
02.3,水包油为主的脂肪乳化物，包括混合和/或调味的脂肪乳化物制品,1,000 mg/kg
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,2,000 mg/kg
04.1.2.8,水果预制品，包括果浆、果泥、水果顶饰和椰奶,100 mg/kg,注释182
12.6.3,沙司和卤汁的混合物,2,000 mg/kg
12.7,沙拉（如通心粉沙拉，土豆沙拉）和三明治涂抹物，不包括04.2.2.5和05.1.3中的可可制品和坚果的涂抹物,1,000 mg/kg
09.2.4.3,油炸的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,1,000 mg/kg,注释16
09.3.1,浸制的和/或胶冻的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,1,000 mg/kg,注释16
12.5,清汤和浓汤,1,000 mg/kg,注释341
08.3.2,热处理的加工碎畜、禽肉和野味制品,20 mg/kg,注释XS89,注释XS88,注释XS98
09.2.4.2,烹调的软体动物，甲壳类和棘皮类动物,1,000 mg/kg
09.2.4.1,烹调的鱼和鱼制品,1,000 mg/kg,注释95
01.6.2.2,熟化干酪壳,1,000 mg/kg
01.6.2.1,熟化干酪，包括干酪壳,600 mg/kg,注释XS208,注释463,注释XS278
13.3,特殊医疗用途食品（不包括13.1类）,600 mg/kg
13.5,特殊膳食食品（如特殊膳食用补充食品），不包括13.1 -13.4和13.6类,600 mg/kg
02.1.3,猪油、牛油、鱼油和其他动物脂肪,1,000 mg/kg,注释518,注释XS329
13.4,瘦身和减肥配方食品,600 mg/kg
09.3.2,盐渍和/或盐水渍的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,1,000 mg/kg,注释16
08.1.2,碎的鲜畜、禽肉和野味,20 mg/kg,注释4,注释16
01.4.4,稀奶油类似产品,20 mg/kg
05.1.5,类巧克力、代巧克力制品,100 mg/kg
07.2,精制焙烤制品（甜的、咸的、美味的）及其混合物,1,000 mg/kg
04.1.2.11,糕饼的水果馅料,100 mg/kg
04.1.2.7,糖渍水果,1,000 mg/kg
09.2.5,经烟熏，干制，发酵，和/或盐腌的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,1,000 mg/kg,注释XS222,注释XS311,注释XS167,注释XS244,注释XS236,注释XS189
04.1.2.4,罐装或瓶装（巴氏杀菌）水果,1,000 mg/kg,注释104
04.2.2.4,罐装或瓶装（经巴氏杀菌的）或杀菌袋装蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）和海藻,200 mg/kg
02.4,脂基甜点，不包括01.7类乳基甜点制品,1,000 mg/kg
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,1,000 mg/kg
12.4,芥末,1,000 mg/kg
14.2.2,苹果酒和梨酒,600 mg/kg
04.2.2.5,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的泥及涂抹酱（如花生酱）,1,000 mg/kg
04.2.2.6,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的浆及其制品（如蔬菜甜品和沙司，和糖渍蔬菜），不包括04.2.2.5类,1,000 mg/kg,注释92
07.1.2,薄脆饼干，不包括甜的薄脆饼干,1,000 mg/kg
10.2,蛋制品,1,000 mg/kg
10.4,蛋基甜点（如蛋奶甜羹）,150 mg/kg
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,20,000 mg/kg
12.2.2,调味料和调味品,500 mg/kg
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,1,000 mg/kg
14.2.6,酒精含量高于15%的蒸馏酒饮料,600 mg/kg
04.2.2.3,醋、油、盐水或酱油渍的蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻,1,320 mg/kg
04.1.2.3,醋、油或盐水渍水果,1,000 mg/kg
12.6.2,非乳化沙司（如番茄酱，干酪汁，奶油汁，卤汁）,2,000 mg/kg
01.6.1,非熟化干酪,600 mg/kg
07.1.4,面包类制品，包括面包馅和面包屑,1,000 mg/kg
06.6,面糊（如用于鱼或禽肉用的裹粉或面糊）,1,000 mg/kg
06.4.3,预制面制品、面条及其类似产品,1,000 mg/kg,注释153
01.1.4,风味液态乳饮料,1,000 mg/kg,注释401,注释52
13.6,食品补充剂,600 mg/kg
03.0,食用冰，包括冰冻果子露和果汁冰糕,1,000 mg/kg
01.3.2,饮料增白剂,1,000 mg/kg,注释XS252,注释XS250
10.1,鲜蛋,1,000 mg/kg,注释4
09.1.1,鲜鱼,100 mg/kg,注释4,注释50,注释16
02.2.1,黄油,600 mg/kg
