编号,食品分类,最大使用量,备注
01.7,乳基甜点（如布丁、水果或调味酸乳）,10,000 mg/kg
01.5.2,乳粉和稀奶油粉类似产品,10,000 mg/kg,注释XS251
01.5.1,乳粉和稀奶油粉（原味）,10,000 mg/kg
12.1.2,代盐制品,16,000 mg/kg
15.1,以土豆、谷物、面粉或淀粉（来自块根，豆类）为原料的零食,20,000 mg/kg
01.1.2,其它液态乳（原味）,120 mg/kg,注释407
01.6.4,再制干酪,10,000 mg/kg
01.2.2,凝乳（原味）,5,000 mg/kg
01.4.3,凝固稀奶油（原味）,5,000 mg/kg
15.2,加工坚果，包括有涂层的坚果和坚果混合物（如与干制水果混合）,10,000 mg/kg
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,10,000 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,10,000 mg/kg,注释XS309R
01.2.1.2,发酵乳（原味），发酵后经热处理,5,000 mg/kg
04.1.2.10,发酵水果制品,2,500 mg/kg
04.2.2.7,发酵蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻制品，不包括食品类别06.8.6、06.8.7、12.9.1、12.9.2.1和12.9.2.3中的发酵豆制品,2,500 mg/kg
05.3,口香糖,50,000 mg/kg
14.1.5,咖啡，咖啡替代品，茶，香草饮料和其他热的谷物饮料，不包括可可,500 mg/kg,注释142
10.2.3,干制和/或热凝固的蛋制品,5,000 mg/kg
04.1.2.2,干制水果,10,000 mg/kg
04.2.2.2,干制蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,10,000 mg/kg
01.6.5,干酪类似产品,10,000 mg/kg
06.4.2,干面制品、面条及其类似产品,5,000 mg/kg
04.1.2.6,果基涂抹物（如印度酸辣酱），不包括04.1.2.5类的食品,5,000 mg/kg
04.1.2.9,果基甜点，包括水基果味甜点,2,500 mg/kg
14.2.4,果酒（不包括葡萄）,5,000 mg/kg
02.1.2,植物油脂,10,000 mg/kg,注释XS19,注释XS210,注释XS33
02.3,水包油为主的脂肪乳化物，包括混合和/或调味的脂肪乳化物制品,10,000 mg/kg
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,5,000 mg/kg
04.1.2.8,水果预制品，包括果浆、果泥、水果顶饰和椰奶,2,500 mg/kg
12.6,沙司及其类似产品,10,000 mg/kg,注释XS302
12.7,沙拉（如通心粉沙拉，土豆沙拉）和三明治涂抹物，不包括04.2.2.5和05.1.3中的可可制品和坚果的涂抹物,5,000 mg/kg
12.5,清汤和浓汤,5,000 mg/kg,注释XS117
01.4.2,灭菌和超高温灭菌（UHT）的稀奶油，搅打和搅打的稀奶油，和低脂稀奶油（原味）,6,000 mg/kg
04.2.2.8,熟制或油炸的蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）和海藻,2,500 mg/kg
01.6.2.1,熟化干酪，包括干酪壳,10,000 mg/kg,注释XS278,注释XS268,注释XS283,注释XS276,注释XS208,注释XS269,注释XS271,注释XS263,注释XS265,注释XS270,注释XS274,注释XS264,注释XS267,注释XS277,注释XS266,注释XS272
13.3,特殊医疗用途食品（不包括13.1类）,5,000 mg/kg
13.5,特殊膳食食品（如特殊膳食用补充食品），不包括13.1 -13.4和13.6类,5,000 mg/kg
02.1.3,猪油、牛油、鱼油和其他动物脂肪,10,000 mg/kg,注释XS19,注释XS211
13.4,瘦身和减肥配方食品,5,000 mg/kg
01.4.4,稀奶油类似产品,6,000 mg/kg
07.2,精制焙烤制品（甜的、咸的、美味的）及其混合物,20,000 mg/kg
04.1.2.7,糖渍水果,1,000 mg/kg
02.4,脂基甜点，不包括01.7类乳基甜点制品,5,000 mg/kg
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,10,000 mg/kg
12.4,芥末,10,000 mg/kg
14.2.2,苹果酒和梨酒,5,000 mg/kg
04.2.2.6,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的浆及其制品（如蔬菜甜品和沙司，和糖渍蔬菜），不包括04.2.2.5类,2,500 mg/kg
10.4,蛋基甜点（如蛋奶甜羹）,5,000 mg/kg
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,10,000 mg/kg
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,5,000 mg/kg
06.8.1,豆基饮料,2,000 mg/kg,注释347
14.2.6,酒精含量高于15%的蒸馏酒饮料,5,000 mg/kg
04.2.2.3,醋、油、盐水或酱油渍的蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻,2,500 mg/kg
04.1.2.3,醋、油或盐水渍水果,1,000 mg/kg
01.6.1,非熟化干酪,10,000 mg/kg,注释XS273,注释497,注释XS221
07.1,面包和普通焙烤制品及其混合物,6,000 mg/kg
06.2,面粉和淀粉（包括豆粉）,3,000 mg/kg,注释XS152,注释186
06.6,面糊（如用于鱼或禽肉用的裹粉或面糊）,5,000 mg/kg
06.4.3,预制面制品、面条及其类似产品,10,000 mg/kg
01.1.4,风味液态乳饮料,5,000 mg/kg,注释399
13.6,食品补充剂,5,000 mg/kg
03.0,食用冰，包括冰冻果子露和果汁冰糕,1,000 mg/kg
01.3.2,饮料增白剂,5,000 mg/kg,注释XS252,注释XS250
