编号,食品分类,最大使用量,备注
01.2.2,凝乳（原味）,良好生产规范,注释59
04.1.1.3,去皮或切块的新鲜水果,良好生产规范,注释59
01.2.1.2,发酵乳（原味），发酵后经热处理,良好生产规范,注释59
14.1.5,咖啡，咖啡替代品，茶，香草饮料和其他热的谷物饮料，不包括可可,良好生产规范,注释160,注释59
14.1.1.1,天然矿泉水和水源水,良好生产规范,注释466
13.1.1,婴儿配方食品,良好生产规范,注释59
13.2,婴幼儿的补充食品,良好生产规范,注释59
14.1.2.1,果汁,良好生产规范,注释69
14.1.3.1,水果浆,良好生产规范,注释69
14.1.2.3,浓缩果汁,良好生产规范,注释69,注释127
14.1.3.3,浓缩水果浆,良好生产规范,注释69,注释127
01.4.2,灭菌和超高温灭菌（UHT）的稀奶油，搅打和搅打的稀奶油，和低脂稀奶油（原味）,良好生产规范,注释59,注释278
13.1.3,特殊医疗用途的婴儿配方食品,良好生产规范,注释59
06.4.1,生面制品、面条及其类似产品,良好生产规范,注释211,注释59
09.2.5,经烟熏，干制，发酵，和/或盐腌的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范,注释382,注释XS244,注释59,注释XS236,注释XS189,注释XS167,注释XS222
14.2.3,葡萄酒,良好生产规范,注释60
14.1.1.2,饮用水和苏打水,良好生产规范,注释466
