编号,食品分类,最大使用量,备注
06.2.1,面粉,200 mg/kg,注释470,注释44
15.1,以土豆、谷物、面粉或淀粉（来自块根，豆类）为原料的零食,50 mg/kg,注释44
09.4,全保藏的鱼和鱼制品，包括罐装或发酵的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,150 mg/kg,注释XS3,注释XS90,注释140,注释XS119,注释XS94,注释XS37,注释44,注释XS70
11.4,其他糖和糖浆（如，木糖，枫糖浆和糖的顶饰）,40 mg/kg,注释44
04.1.2.1,冷冻水果,500 mg/kg,注释155,注释44
09.2.1,冷冻的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,100 mg/kg,注释XS190,注释XS315,注释392,注释XS36,注释19,注释XS165,注释139,注释XS191,注释44,注释XS312
04.2.2.1,冷冻蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,50 mg/kg,注释76,注释137,注释44,注释136
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,250 mg/kg,注释44
04.2.1.3,去皮、切块或切碎的新鲜蔬菜（包括蘑菇和食用真菌、，块根类、，豆类、，芦荟）、海藻、坚果和籽类,50 mg/kg,注释76,注释44,注释136
04.1.2.10,发酵水果制品,100 mg/kg,注释44
04.2.2.7,发酵蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻制品，不包括食品类别06.8.6、06.8.7、12.9.1、12.9.2.1和12.9.2.3中的发酵豆制品,500 mg/kg,注释44
14.2.1,啤酒和麦芽饮料,50 mg/kg,注释44
04.1.2.2,干制水果,1,000 mg/kg,注释135,注释218,注释44
04.2.2.2,干制蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,500 mg/kg,注释105,注释44
04.1.2.9,果基甜点，包括水基果味甜点,100 mg/kg,注释44
14.1.2.1,果汁,50 mg/kg,注释122,注释44
14.2.4,果酒（不包括葡萄）,200 mg/kg,注释44
04.1.2.5,果酱、果冻、柑橘果酱,100 mg/kg,注释44
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,70 mg/kg,注释127,注释44,注释143
14.1.3.1,水果浆,50 mg/kg,注释122,注释44
04.1.2.8,水果预制品，包括果浆、果泥、水果顶饰和椰奶,100 mg/kg,注释44,注释206
12.6,沙司及其类似产品,300 mg/kg,注释XS302,注释44
14.1.2.3,浓缩果汁,50 mg/kg,注释122,注释127,注释44
14.1.3.3,浓缩水果浆,50 mg/kg,注释122,注释127,注释44
14.1.2.4,浓缩蔬菜汁,50 mg/kg,注释122,注释127,注释44
14.1.3.4,浓缩蔬菜浆,50 mg/kg,注释122,注释127,注释44
06.2.2,淀粉,50 mg/kg,注释44
09.2.4.2,烹调的软体动物，甲壳类和棘皮类动物,150 mg/kg,注释44
11.1.1,白糖，脱水葡萄糖，单水葡萄糖，果糖,15 mg/kg,注释44
07.2,精制焙烤制品（甜的、咸的、美味的）及其混合物,50 mg/kg,注释44
04.1.2.11,糕饼的水果馅料,100 mg/kg,注释44
04.1.2.7,糖渍水果,100 mg/kg,注释44
11.3,糖溶液和糖浆，以及（部分）转化糖，包括糖蜜，不包括11.1.3类,70 mg/kg,注释44
11.1.2,糖粉，葡萄糖粉,15 mg/kg,注释44
11.2,红糖，不包括11.1.3类,40 mg/kg,注释44
09.2.5,经烟熏，干制，发酵，和/或盐腌的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,30 mg/kg,注释XS244,注释XS222,注释XS167,注释44,注释XS311,注释XS236,注释XS189
04.1.1.2,经表面处理的新鲜水果,30 mg/kg,注释204,注释44
11.1.3,绵白糖，绵红糖，葡萄糖浆，干制葡萄糖浆，粗制蔗糖,20 mg/kg,注释111,注释44
04.2.2.4,罐装或瓶装（经巴氏杀菌的）或杀菌袋装蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）和海藻,50 mg/kg,注释44
11.1.5,耕地或压榨白糖,70 mg/kg,注释44
12.4,芥末,250 mg/kg,注释106,注释44
14.2.2,苹果酒和梨酒,200 mg/kg,注释44
14.2.3,葡萄酒,350 mg/kg,注释103,注释44
14.1.2.2,蔬菜汁,50 mg/kg,注释122,注释44
14.1.3.2,蔬菜浆,50 mg/kg,注释122,注释44
04.2.2.5,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的泥及涂抹酱（如花生酱）,500 mg/kg,注释138,注释44
04.2.2.6,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的浆及其制品（如蔬菜甜品和沙司，和糖渍蔬菜），不包括04.2.2.5类,300 mg/kg,注释44,注释205
14.2.5,蜂蜜酒,200 mg/kg,注释44
12.2.2,调味料和调味品,200 mg/kg,注释44
14.2.6,酒精含量高于15%的蒸馏酒饮料,200 mg/kg,注释44
12.3,醋,100 mg/kg,注释44
04.2.2.3,醋、油、盐水或酱油渍的蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻,100 mg/kg,注释44
04.1.2.3,醋、油或盐水渍水果,100 mg/kg,注释44
06.4.3,预制面制品、面条及其类似产品,20 mg/kg,注释476,注释44
12.2.1,香草和香辛料,150 mg/kg,注释XS328,注释44,注释XS327,注释532
09.1.2,鲜软体动物，甲壳类和棘皮类动物,100 mg/kg,注释390,注释XS315,注释44,注释XS312
