编号,食品分类,最大使用量,备注
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,100 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,300 mg/kg
05.3,口香糖,300 mg/kg,注释444
05.1.4,可可和巧克力制品,300 mg/kg,注释183
05.1.3,可可涂抹物，包括馅料,300 mg/kg,注释XS86
14.2.1,啤酒和麦芽饮料,200 mg/kg,注释425
14.2.4,果酒（不包括葡萄）,200 mg/kg
02.1.2,植物油脂,5 mg/kg,注释508,注释XS33,注释XS210,注释509
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,60 mg/kg,注释127
12.5,清汤和浓汤,50 mg/kg,注释99
01.6.2,熟化干酪,良好生产规范,注释XS208,注释XS278,注释498
02.1.3,猪油、牛油、鱼油和其他动物脂肪,5 mg/kg,注释512,注释XS329
05.1.5,类巧克力、代巧克力制品,300 mg/kg
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,10 mg/kg,注释528
14.2.2,苹果酒和梨酒,200 mg/kg
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,500 mg/kg
14.2.6,酒精含量高于15%的蒸馏酒饮料,100 mg/kg
01.6.1,非熟化干酪,良好生产规范,注释XS275,注释493,注释XS273
06.4.3,预制面制品、面条及其类似产品,500 mg/kg,注释194
01.1.4,风味液态乳饮料,150 mg/kg,注释402,注释52
13.6,食品补充剂,300 mg/kg,注释539
