编号,食品分类,最大使用量,备注
09.3.3,三文鱼替代品，鱼子酱及其他鱼子制品,200 mg/kg,注释XS291
12.6.1,乳化沙司（如蛋黄酱，沙拉酱）,200 mg/kg
01.7,乳基甜点（如布丁、水果或调味酸乳）,200 mg/kg,注释170
01.6.3,乳清干酪,200 mg/kg
01.6.4,再制干酪,200 mg/kg
08.3.3,冷冻的加工碎畜、禽肉和野味制品,315 mg/kg,注释3,注释374
09.3.4,半保藏的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物（如鱼酱），不包括09.3.1-09.3.3类,200 mg/kg
04.2.1.3,去皮、切块或切碎的新鲜蔬菜（包括蘑菇和食用真菌、，块根类、，豆类、，芦荟）、海藻、坚果和籽类,200 mg/kg
05.3,口香糖,225 mg/kg
05.1.3,可可涂抹物，包括馅料,200 mg/kg,注释XS86
04.1.2.2,干制水果,200 mg/kg
01.6.5,干酪类似产品,200 mg/kg
08.2.3,整块或分割的冷冻加工的畜、禽肉和野味,200 mg/kg,注释3,注释374
08.2.1,整块或分割的未经热处理加工的畜、禽肉和野味,200 mg/kg
08.2.2,整块或分割的热处理加工的畜、禽肉和野味,200 mg/kg,注释396
08.3.1,未经热处理的加工碎畜、禽肉和野味制品,315 mg/kg
12.7,沙拉（如通心粉沙拉，土豆沙拉）和三明治涂抹物，不包括04.2.2.5和05.1.3中的可可制品和坚果的涂抹物,200 mg/kg
09.2.4.3,油炸的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,200 mg/kg,注释419
14.1.4.3,浓缩（液体或固体）水基调味饮料,50 mg/kg,注释127
09.3.1,浸制的和/或胶冻的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,200 mg/kg
12.5,清汤和浓汤,200 mg/kg,注释XS117
08.3.2,热处理的加工碎畜、禽肉和野味制品,200 mg/kg,注释377
09.2.4.2,烹调的软体动物，甲壳类和棘皮类动物,200 mg/kg
09.2.4.1,烹调的鱼和鱼制品,200 mg/kg
01.6.2.1,熟化干酪，包括干酪壳,200 mg/kg,注释XS271,注释XS277,注释XS278,注释XS208,注释XS267,注释XS265,注释XS270,注释XS264,注释XS268,注释XS276,注释XS266,注释XS283,注释XS263,注释XS272,注释XS269,注释XS274
09.3.2,盐渍和/或盐水渍的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,200 mg/kg
14.1.4.1,碳酸水基调味饮料,50 mg/kg
04.1.2.11,糕饼的水果馅料,200 mg/kg
09.2.5,经烟熏，干制，发酵，和/或盐腌的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,200 mg/kg,注释XS236,注释XS189,注释333,注释XS222
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,200 mg/kg,注释215,注释214
10.2,蛋制品,200 mg/kg
10.4,蛋基甜点（如蛋奶甜羹）,200 mg/kg
04.2.1.2,表面处理的新鲜蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,200 mg/kg
12.2.2,调味料和调味品,200 mg/kg
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,200 mg/kg
04.2.2.3,醋、油、盐水或酱油渍的蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻,200 mg/kg
12.6.2,非乳化沙司（如番茄酱，干酪汁，奶油汁，卤汁）,200 mg/kg
01.6.1,非熟化干酪,200 mg/kg,注释XS221,注释XS275,注释XS273
14.1.4.2,非碳酸水基调味饮料，包括潘趣酒和果汁饮料,50 mg/kg
