编号,食品分类,最大使用量,备注
09.4,全保藏的鱼和鱼制品，包括罐装或发酵的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,30 mg/kg,注释XS94,注释XS90,注释XS70,注释XS3,注释435,注释XS119
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,200 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,300 mg/kg
05.3,口香糖,300 mg/kg
05.1.4,可可和巧克力制品,100 mg/kg,注释183
05.1.3,可可涂抹物，包括馅料,100 mg/kg,注释XS86
14.2.1,啤酒和麦芽饮料,500 mg/kg,注释425
14.2.4,果酒（不包括葡萄）,200 mg/kg
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,100 mg/kg,注释127
12.5,清汤和浓汤,50 mg/kg,注释99
05.1.5,类巧克力、代巧克力制品,100 mg/kg
09.2.5,经烟熏，干制，发酵，和/或盐腌的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,100 mg/kg,注释XS167,注释382,注释XS236,注释XS244,注释XS189,注释XS222
14.2.2,苹果酒和梨酒,200 mg/kg
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,500 mg/kg
14.2.6,酒精含量高于15%的蒸馏酒饮料,200 mg/kg
06.4.3,预制面制品、面条及其类似产品,300 mg/kg,注释194
01.1.4,风味液态乳饮料,300 mg/kg,注释52
13.6,食品补充剂,300 mg/kg,注释539
