编号,食品分类,最大使用量,备注
12.1.2,代盐制品,良好生产规范
11.4,其他糖和糖浆（如，木糖，枫糖浆和糖的顶饰）,良好生产规范,注释258
09.2.3,冷冻切碎的加稀奶油的鱼糜制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范,注释16
09.2.2,冷冻拖面糊的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范,注释XS166,注释16
09.2.1,冷冻的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范,注释XS36,注释XS315,注释XS190,注释XS165,注释XS95,注释XS191,注释XS292,注释XS92,注释XS312
01.2.2,凝乳（原味）,良好生产规范
01.2.1.2,发酵乳（原味），发酵后经热处理,良好生产规范,注释234
14.1.5,咖啡，咖啡替代品，茶，香草饮料和其他热的谷物饮料，不包括可可,良好生产规范,注释160
08.1.1,整块或分割的生鲜畜、禽肉和野味,良好生产规范,注释16,注释326
09.2.4.3,油炸的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范,注释41
09.2.4.1,烹调的鱼和鱼制品,良好生产规范,注释241
08.1.2,碎的鲜畜、禽肉和野味,良好生产规范,注释281
09.2.5,经烟熏，干制，发酵，和/或盐腌的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范,注释XS222,注释XS189,注释XS236,注释XS167,注释300,注释XS311,注释XS244
04.1.1.2,经表面处理的新鲜水果,良好生产规范,注释454
04.2.1.2,表面处理的新鲜蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,良好生产规范,注释456
12.2.1,香草和香辛料,良好生产规范,注释534
