编号,食品分类,最大使用量,备注
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,4,000 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,50,000 mg/kg
05.3,口香糖,20,000 mg/kg
05.1.4,可可和巧克力制品,50,000 mg/kg,注释183
05.1.3,可可涂抹物，包括馅料,50,000 mg/kg,注释XS86
14.2.1,啤酒和麦芽饮料,50,000 mg/kg
14.2.4,果酒（不包括葡萄）,1,000 mg/kg
05.1.5,类巧克力、代巧克力制品,50,000 mg/kg
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,500 mg/kg,注释528
14.2.2,苹果酒和梨酒,1,000 mg/kg
14.2.5,蜂蜜酒,5,000 mg/kg
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,50,000 mg/kg
14.2.6,酒精含量高于15%的蒸馏酒饮料,5,000 mg/kg
06.4.3,预制面制品、面条及其类似产品,50,000 mg/kg,注释194
01.1.4,风味液态乳饮料,2,000 mg/kg,注释52,注释400
13.6,食品补充剂,7,500 mg/kg
