编号,食品分类,最大使用量,备注
01.5.2,乳粉和稀奶油粉类似产品,100 mg/kg,注释15,注释481
07.1.3,其他普通焙烤制品（如百吉饼、皮塔饼、英式松饼等）,200 mg/kg,注释15,注释130
08.3,加工的碎畜、禽肉和野味制品,100 mg/kg,注释15,注释130,注释XS88,注释XS98,注释162,注释XS89
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,200 mg/kg,注释15,注释130,注释XS309R
15.0,即食小食品,200 mg/kg,注释15,注释130
05.3,口香糖,400 mg/kg,注释130
05.1.4,可可和巧克力制品,200 mg/kg,注释15,注释130,注释303
08.2,整块或分割的加工畜、禽肉和野味,100 mg/kg,注释XS96,注释15,注释130,注释167,注释XS97
02.1.2,植物油脂,200 mg/kg,注释XS33,注释515,注释15,注释511,注释130
02.3,水包油为主的脂肪乳化物，包括混合和/或调味的脂肪乳化物制品,200 mg/kg,注释15,注释130
12.6,沙司及其类似产品,200 mg/kg,注释15,注释130,注释XS302
12.5,清汤和浓汤,200 mg/kg,注释15,注释130
02.1.3,猪油、牛油、鱼油和其他动物脂肪,200 mg/kg,注释516,注释15,注释130
02.4,脂基甜点，不包括01.7类乳基甜点制品,200 mg/kg,注释15,注释130
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,200 mg/kg,注释15,注释130
12.4,芥末,200 mg/kg,注释15
07.1.2,薄脆饼干，不包括甜的薄脆饼干,200 mg/kg,注释15,注释195
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,200 mg/kg,注释15,注释130
07.1.1,面包和面包卷,200 mg/kg,注释15,注释195
07.1.4,面包类制品，包括面包馅和面包屑,200 mg/kg,注释15,注释195
06.4.3,预制面制品、面条及其类似产品,200 mg/kg,注释15,注释130
03.0,食用冰，包括冰冻果子露和果汁冰糕,200 mg/kg,注释15,注释195
01.3.2,饮料增白剂,100 mg/kg,注释15,注释195,注释XS252,注释XS250
12.2,香草，香辛料，调味料和调味品（如方便面调料）,200 mg/kg,注释XS328,注释XS326,注释15,注释130,注释XS327
02.1.1,黄油脂、无水乳脂、酥油,120 mg/kg,注释15,注释171,注释514
