编号,食品分类,最大使用量,备注
06.2.1,面粉,5,000 mg/kg,注释15,注释186,注释XS152
12.6.1,乳化沙司（如蛋黄酱，沙拉酱）,600 mg/kg
01.7,乳基甜点（如布丁、水果或调味酸乳）,500 mg/kg,注释XS243
01.8,乳清和乳清制品，不包括乳清干酪,200 mg/kg
15.1,以土豆、谷物、面粉或淀粉（来自块根，豆类）为原料的零食,200 mg/kg
07.2.2,其他精制焙烤制品（如炸面圈饼、甜面包圈、烤饼和松饼）,200 mg/kg
01.1.2,其它液态乳（原味）,200 mg/kg,注释410
01.6.4,再制干酪,200 mg/kg
09.2.2,冷冻拖面糊的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,200 mg/kg,注释XS166,注释15
15.2,加工坚果，包括有涂层的坚果和坚果混合物（如与干制水果混合）,200 mg/kg
08.3,加工的碎畜、禽肉和野味制品,500 mg/kg,注释XS88,注释XS89,注释XS98
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,5 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,500 mg/kg,注释XS309R,注释15
05.3,口香糖,1,500 mg/kg
05.1.4,可可和巧克力制品,750 mg/kg,注释168,注释15
05.1.3,可可涂抹物，包括馅料,100 mg/kg,注释15,注释XS86
05.1.2,可可混合物（浆）,500 mg/kg,注释15
08.4,可食用肠衣（如香肠肠衣）,5,000 mg/kg,注释365
13.1.1,婴儿配方食品,10 mg/kg,注释416,注释72
13.2,婴幼儿的补充食品,300 mg/kg,注释15
04.1.2.2,干制水果,200 mg/kg,注释XS130,注释XS67
04.2.2.2,干制蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,200 mg/kg,注释XS38
01.6.5,干酪类似产品,400 mg/kg
01.6.2.3,干酪粉（用水冲调复原；如干酪沙司）,300 mg/kg
06.4.2,干面制品、面条及其类似产品,500 mg/kg,注释211
08.2,整块或分割的加工畜、禽肉和野味,500 mg/kg,注释XS96,注释XS97
06.3,早餐谷物，包括燕麦片,200 mg/kg
04.1.2.6,果基涂抹物（如印度酸辣酱），不包括04.1.2.5类的食品,200 mg/kg,注释XS160
04.1.2.9,果基甜点，包括水基果味甜点,500 mg/kg,注释15
02.1.2,植物油脂,300 mg/kg,注释357,注释511
02.3,水包油为主的脂肪乳化物，包括混合和/或调味的脂肪乳化物制品,900 mg/kg
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,200 mg/kg,注释434
04.1.2.8,水果预制品，包括果浆、果泥、水果顶饰和椰奶,150 mg/kg,注释XS314R,注释XS240
12.6.3,沙司和卤汁的混合物,300 mg/kg,注释127
12.5,清汤和浓汤,50 mg/kg,注释346
13.1.3,特殊医疗用途的婴儿配方食品,10 mg/kg,注释416,注释72
13.3,特殊医疗用途食品（不包括13.1类）,30 mg/kg
13.5,特殊膳食食品（如特殊膳食用补充食品），不包括13.1 -13.4和13.6类,300 mg/kg
02.1.3,猪油、牛油、鱼油和其他动物脂肪,300 mg/kg,注释527
13.4,瘦身和减肥配方食品,300 mg/kg
08.1.2,碎的鲜畜、禽肉和野味,300 mg/kg,注释15,注释281
01.4.4,稀奶油类似产品,200 mg/kg
05.1.5,类巧克力、代巧克力制品,500 mg/kg,注释15
07.2.3,精制焙烤制品预拌粉（如蛋糕、薄烤饼）,200 mg/kg,注释11
04.1.2.11,糕饼的水果馅料,150 mg/kg
02.4,脂基甜点，不包括01.7类乳基甜点制品,200 mg/kg
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,500 mg/kg
12.4,芥末,200 mg/kg
04.2.2.5,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的泥及涂抹酱（如花生酱）,300 mg/kg,注释XS57
07.1.2,薄脆饼干，不包括甜的薄脆饼干,200 mg/kg
10.4,蛋基甜点（如蛋奶甜羹）,500 mg/kg,注释72
07.2.1,蛋糕、饼干和派（如：填充水果或奶油的类型）,200 mg/kg,注释389
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,500 mg/kg,注释15
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,500 mg/kg,注释15
13.1.2,较大婴儿配方食品,30 mg/kg,注释72
12.6.2,非乳化沙司（如番茄酱，干酪汁，奶油汁，卤汁）,600 mg/kg
01.6.1,非熟化干酪,200 mg/kg,注释168,注释XS221,注释351,注释XS273
07.1.6,面包和普通焙烤制品预拌粉,100 mg/kg
06.6,面糊（如用于鱼或禽肉用的裹粉或面糊）,100 mg/kg
06.4.3,预制面制品、面条及其类似产品,200 mg/kg,注释211
01.1.4,风味液态乳饮料,200 mg/kg,注释15
13.6,食品补充剂,2,000 mg/kg,注释418
03.0,食用冰，包括冰冻果子露和果汁冰糕,500 mg/kg,注释15
01.3.2,饮料增白剂,200 mg/kg,注释XS252,注释XS250
12.2,香草，香辛料，调味料和调味品（如方便面调料）,2,000 mg/kg,注释421,注释XS328,注释XS326,注释XS327
02.1.1,黄油脂、无水乳脂、酥油,500 mg/kg,注释171,注释513
